Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	AverageQVals	StdQVals	MaxQVals	MinQVals	LossPi	LossQ	Time
1	5.531856	3.0444007	19.0	3.0	49.4	3.1368775	53.0	44.0	5.531856	49.4	1999	2.281844	1.1301174	6.1528287	-0.78515357	-2.5775037	0.12065389	4.588081121444702
2	5.8110466	3.564488	26.0	3.0	42.5	2.2022715	46.0	40.0	5.8110466	42.5	3999	8.177938	4.657546	20.874191	-1.7542917	-10.002037	0.9166963	13.962477207183838
3	6.036254	3.7864304	28.0	2.0	32.3	0.64031243	33.0	31.0	6.036254	32.3	5999	16.940615	9.164993	35.8704	-4.1053	-20.932344	2.8420475	23.34515142440796
4	5.7094016	3.3564832	23.0	3.0	36.9	0.9433981	38.0	36.0	5.7094016	36.9	7999	26.843908	14.720294	55.34208	-7.1095057	-33.51004	5.855613	32.65995907783508
5	5.638418	3.114445	22.0	3.0	33.6	3.382307	40.0	26.0	5.638418	33.6	9999	38.259228	21.170803	74.85332	-11.72472	-47.927296	10.383886	41.89663791656494
6	56.696968	48.11633	278.0	27.0	939.9	180.29999	1000.0	399.0	56.696968	939.9	11999	50.5917	26.475107	91.2572	-12.56869	-61.91445	18.671047	54.49364686012268
7	191.9	135.7442	498.0	45.0	385.2	310.3971	1000.0	83.0	191.9	385.2	13999	63.542225	30.197794	104.73849	-17.040936	-75.33381	24.54208	64.98003888130188
8	272.14285	306.34314	1000.0	66.0	1000.0	0.0	1000.0	1000.0	272.14285	1000.0	15999	75.298225	33.42385	116.194084	-20.7467	-87.08158	26.401608	77.73185300827026
9	1000.0	0.0	1000.0	1000.0	316.2	167.25238	772.0	194.0	1000.0	316.2	17999	85.57914	35.58046	134.69865	-21.199282	-97.15872	25.87763	88.25226068496704
10	1000.0	0.0	1000.0	1000.0	1000.0	0.0	1000.0	1000.0	1000.0	1000.0	19999	95.49297	37.59024	142.6525	-20.857622	-106.85843	27.988415	100.73604989051819
11	704.6667	417.6644	1000.0	114.0	1000.0	0.0	1000.0	1000.0	704.6667	1000.0	21999	103.58707	38.130596	152.92969	-23.895267	-114.28578	27.64357	112.74270033836365
12	1000.0	0.0	1000.0	1000.0	1000.0	0.0	1000.0	1000.0	1000.0	1000.0	23999	109.4918	38.46253	161.59969	-24.68443	-119.62536	26.369831	124.75736832618713
13	331.6	253.24977	736.0	43.0	1000.0	0.0	1000.0	1000.0	331.6	1000.0	25999	115.25719	38.810196	198.34344	-30.47923	-125.28789	26.40042	137.06860899925232
14	1000.0	0.0	1000.0	1000.0	1000.0	0.0	1000.0	1000.0	1000.0	1000.0	27999	123.66681	40.1181	178.09167	-26.780783	-133.77496	26.460989	149.92495322227478
15	500.8	415.79004	1000.0	73.0	121.9	4.437341	131.0	117.0	500.8	121.9	29999	130.75441	40.804955	173.68993	-28.048697	-140.43329	26.539223	159.7016839981079
16	117.35294	69.55823	310.0	47.0	99.8	23.421356	141.0	59.0	117.35294	99.8	31999	134.2686	40.72134	172.8418	-28.11417	-143.19453	24.817337	169.33822011947632
17	117.17647	65.68663	294.0	58.0	104.8	31.530304	179.0	69.0	117.17647	104.8	33999	134.83173	41.14538	171.65	-52.1184	-143.32228	25.801937	178.83290266990662
18	53.57895	4.837527	70.0	49.0	58.5	4.8218255	66.0	53.0	53.57895	58.5	35999	134.40237	41.681686	170.36409	-59.906895	-142.4437	25.214977	188.01611852645874
19	74.96154	16.894424	109.0	54.0	67.9	3.1448371	71.0	63.0	74.96154	67.9	37999	134.93034	42.823128	169.24902	-44.63091	-143.15053	27.882296	197.27509593963623
20	77.07692	20.706602	170.0	55.0	818.6	362.80112	1000.0	91.0	77.07692	818.6	39999	137.79498	44.784603	188.14856	-32.09785	-146.3039	24.097456	208.91967344284058
21	216.28572	321.22745	1000.0	47.0	114.6	73.71594	278.0	58.0	216.28572	114.6	41999	145.90578	49.29218	208.09613	-28.929478	-154.93951	26.798656	218.29798007011414
22	60.92683	77.68334	552.0	44.0	50.5	0.5	51.0	50.0	60.92683	50.5	43999	153.91364	53.852016	218.75928	-31.829937	-163.68985	28.09541	227.76254391670227
23	104.44444	71.82171	246.0	50.0	94.0	41.866455	219.0	74.0	104.44444	94.0	45999	164.46638	62.50068	239.30667	-36.863766	-175.02576	33.938797	237.24073314666748
24	290.42856	151.05615	622.0	185.0	359.1	102.96256	513.0	261.0	290.42856	359.1	47999	177.1684	69.5962	265.4389	-31.3917	-188.61034	38.867172	247.49670910835266
25	541.0	333.04956	1000.0	220.0	1000.0	0.0	1000.0	1000.0	541.0	1000.0	49999	193.15318	77.65707	297.48428	-37.407234	-205.66206	46.40352	259.87691950798035
