Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time
0	10.227586	5.100027	34.0	4.0	10.227586	0.07836457	0.008799932	0.13887542	0.036113285	1500	-5.420049e-08	64.85019	-0.0128081795	-43.155083	0.91893816	0.015747732	0.202	10.0	1.3817334175109863
1	12.096774	7.0372505	43.0	4.0	12.096774	6.362987	0.3092071	6.610653	4.4583797	3000	-7.838011e-09	40.61825	-0.020818228	-6.032036	0.9160507	0.017652033	0.16933334	10.0	2.7370238304138184
2	14.470589	9.244719	53.0	5.0	14.470589	8.149618	1.340058	9.338739	0.6268282	4500	-2.6151539e-09	60.829792	-0.014947837	-6.02652	0.9134423	0.016327167	0.16266666	9.0	4.129268169403076
3	17.317648	11.015723	71.0	6.0	17.317648	10.046321	1.6191208	11.726893	1.272055	6000	-4.3660404e-09	80.302185	-0.020050902	-7.0139465	0.91105056	0.017628275	0.16333333	8.0	5.471417665481567
4	22.861538	11.979311	67.0	7.0	22.861538	11.841785	2.3515534	14.387606	0.40458363	7500	2.3176273e-08	87.38971	-0.016906591	-12.682236	0.9091833	0.016414749	0.15333334	10.0	6.796344995498657
5	35.6	24.009165	116.0	8.0	35.6	13.0297785	3.7720184	16.787277	-3.5979466	9000	6.8177776e-08	334.18332	-0.019073287	-103.310715	0.9067312	0.0061532375	0.106	79.0	8.448495388031006
6	47.3	29.267899	150.0	12.0	47.3	22.24077	2.6549394	23.824286	3.933106	10500	3.7451584e-09	324.3921	-0.016932048	-71.75801	0.8911483	0.004709736	0.09	79.0	10.129388570785522
7	57.48	22.298197	93.0	10.0	57.48	24.744823	7.043987	31.36086	-3.3285146	12000	-9.596348e-09	177.0231	-0.0061493577	-38.326828	0.88698566	0.015382825	0.168	6.0	11.44091248512268
8	53.535713	27.097025	130.0	15.0	53.535713	25.909958	9.617572	35.417847	-1.2841756	13500	2.643404e-09	216.65997	-0.008537476	-44.918503	0.8867869	0.017500835	0.16133334	7.0	12.723714590072632
9	77.47369	34.73716	177.0	36.0	77.47369	30.155182	8.470539	36.002804	-0.73531276	15000	-2.3384889e-08	283.43726	-0.011621122	-59.22551	0.8848064	0.0069973376	0.086666666	79.0	14.37919569015503
10	99.73333	59.792377	260.0	37.0	99.73333	33.68923	10.960981	42.71542	1.8761996	16500	-6.7750614e-09	507.88364	-0.013402496	-135.37555	0.8581204	0.006183127	0.074666664	79.0	16.023277282714844
11	194.85715	69.44356	300.0	115.0	194.85715	39.733635	13.216559	51.086384	2.2649455	18000	1.4821689e-08	915.4699	-0.013909324	-505.3537	0.85149807	0.00741125	0.10933334	79.0	17.64151930809021
12	639.5	248.5	888.0	391.0	639.5	60.348972	6.7525783	63.09167	10.278332	19500	2.4398167e-08	966.9628	-0.005117559	-614.2213	0.8347651	0.0026458008	0.013333334	79.0	19.270038843154907
13	269.5	17.5	287.0	252.0	269.5	72.826965	10.322418	77.72861	16.491077	21000	2.7298928e-08	601.48846	-0.013860852	-382.26746	0.8318083	0.016943064	0.11	4.0	20.512911081314087
14	459.33334	224.38855	754.0	210.0	459.33334	84.52011	1.5959071	84.78607	46.165947	22500	7.40091e-09	609.6753	-0.014299299	-131.16745	0.83147174	0.0068045747	0.061333332	79.0	22.143385410308838
15	1000.0	0.0	1000.0	1000.0	1000.0	80.536	5.9790936	84.32309	36.29339	24000	-7.867813e-09	339.01688	-0.0123518435	-284.2156	0.81923985	0.005239234	0.079333335	79.0	23.798016786575317
16	1000.0	0.0	1000.0	1000.0	1000.0	91.37852	1.0040474	91.48764	74.70633	25500	2.8769175e-08	60.94145	-0.0037471347	-46.17011	0.78620213	0.016375288	0.196	6.0	25.071007251739502
17	1000.0	0.0	1000.0	1000.0	1000.0	95.561646	0.120221905	95.6078	92.86474	27000	-6.198883e-08	15.756719	-0.009353008	-11.97314	0.78470933	0.022180755	0.292	4.0	26.341325044631958
18	1000.0	0.0	1000.0	1000.0	1000.0	97.78185	0.019991307	97.78996	97.46396	28500	1.7229716e-07	3.9511168	-0.0018753739	-3.069884	0.7839578	0.0021359979	0.024666667	79.0	27.9789035320282
19	1000.0	0.0	1000.0	1000.0	1000.0	98.91766	0.021547133	98.92388	98.48319	30000	3.3664702e-07	0.94205105	-0.0047482494	-0.745898	0.7874493	0.0058286055	0.088	79.0	29.65036153793335
