Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	AverageQVals	StdQVals	MaxQVals	MinQVals	LossPi	LossQ	Time
1	6.032258	3.8770113	36.0	2.0	28.5	1.4317821	31.0	26.0	6.032258	28.5	1499	1.8895874	0.72667104	3.5697925	-0.2764186	-2.1016488	0.09966544	3.4449899196624756
2	5.3655915	2.663109	19.0	3.0	23.1	0.9433981	25.0	22.0	5.3655915	23.1	2999	5.8265977	3.015571	10.81327	0.09410574	-6.8562136	0.25942278	13.018487930297852
3	5.6301885	3.1573565	23.0	2.0	32.3	2.1931713	36.0	29.0	5.6301885	32.3	4499	10.85656	5.5843124	17.214367	0.50563586	-13.093893	0.51020896	22.50326895713806
4	5.9411764	3.699559	22.0	3.0	38.7	1.6155494	41.0	36.0	5.9411764	38.7	5999	15.513759	8.066698	23.137043	0.47057804	-18.76275	1.2084157	31.7706356048584
5	5.5296297	3.1003366	20.0	3.0	47.5	5.8008623	64.0	42.0	5.5296297	47.5	7499	19.703995	10.486924	28.57347	0.69654816	-23.997332	1.9043063	40.95642161369324
6	5.6958175	3.0976903	23.0	3.0	23.0	0.4472136	24.0	22.0	5.6958175	23.0	8999	23.48409	12.770921	33.582073	0.7248681	-28.700281	2.2126672	50.01052522659302
7	8.312849	9.622622	63.0	3.0	39.9	0.29999998	40.0	39.0	8.312849	39.9	10499	27.11203	14.841147	38.201355	0.19843122	-33.07806	3.113178	59.403728723526
8	47.548386	10.968691	82.0	37.0	72.4	1.2806249	74.0	70.0	47.548386	72.4	11999	31.20614	16.012447	42.191006	-0.43460372	-37.249058	5.5692043	69.16237282752991
9	105.92857	51.28835	256.0	53.0	66.4	0.48989797	67.0	66.0	105.92857	66.4	13499	35.12217	16.840755	46.033287	-1.1624336	-41.038254	5.8659573	78.72611665725708
10	41.13158	8.404795	75.0	34.0	38.6	0.48989797	39.0	38.0	41.13158	38.6	14999	38.682487	17.871881	49.74125	-2.0594811	-44.48845	5.8490644	88.21646690368652
