Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	AverageQVals	StdQVals	MaxQVals	MinQVals	LossPi	LossQ	Time
1	5.5464683	3.173232	20.0	3.0	28.6	1.56205	31.0	27.0	5.5464683	28.6	1499	1.7900923	0.6515893	3.397301	-0.18778038	-1.9851599	0.101261534	2.5286672115325928
2	5.636704	3.29212	19.0	3.0	85.4	22.769276	151.0	67.0	5.636704	85.4	2999	5.6578264	3.10154	11.623031	0.048453115	-6.8296394	0.42977017	9.380604982376099
3	5.743295	3.1657898	27.0	2.0	27.5	0.92195445	29.0	26.0	5.743295	27.5	4499	11.151611	5.91975	18.674135	-0.05207705	-13.635944	0.87350214	16.088560581207275
4	5.659091	3.2117908	23.0	2.0	28.5	0.5	29.0	28.0	5.659091	28.5	5999	16.133116	8.799763	25.365213	-0.062020794	-19.780079	1.345957	22.801698207855225
5	6.0401607	3.6982565	29.0	3.0	29.4	0.8	31.0	28.0	6.0401607	29.4	7499	20.92341	11.487004	31.895813	-0.08645339	-25.664745	2.0196555	29.592138051986694
6	5.795367	3.2419515	25.0	3.0	25.5	0.92195445	27.0	24.0	5.795367	25.5	8999	25.417412	14.132426	37.856506	-0.54827106	-31.266321	2.7412188	36.927220582962036
7	8.037434	7.291757	42.0	3.0	30.3	0.4582576	31.0	30.0	8.037434	30.3	10499	29.898554	16.731836	44.25888	-0.82642525	-36.820034	3.5649264	44.508970975875854
8	36.07317	2.3622048	42.0	30.0	41.0	2.529822	45.0	38.0	36.07317	41.0	11999	35.232742	18.382605	50.516724	-8.238584	-42.353966	7.1521406	51.99791860580444
9	48.7	7.9504714	68.0	36.0	626.0	458.1537	1000.0	48.0	48.7	626.0	13499	39.49472	19.404099	55.78173	-14.183786	-46.562542	9.128966	61.17306137084961
10	681.6667	450.19135	1000.0	45.0	35.8	9.008884	46.0	22.0	681.6667	35.8	14999	43.497906	20.198576	61.35527	-13.212793	-50.514717	8.082353	68.19989562034607
