Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	AverageQVals	StdQVals	MaxQVals	MinQVals	LossPi	LossQ	Time
1	5.780347	3.0757802	23.0	2.0	45.5	1.8027756	48.0	42.0	5.780347	45.5	1999	2.876532	1.5521456	6.17069	-0.285397	-3.2784076	0.14386849	6.848218202590942
2	5.86217	3.298681	22.0	3.0	19.5	1.024695	21.0	18.0	5.86217	19.5	3999	8.353303	4.5151668	15.082463	0.029373735	-9.990186	0.46940315	19.49817395210266
3	5.819242	3.341057	20.0	3.0	16.3	1.0999999	18.0	15.0	5.819242	16.3	5999	14.762266	7.7286396	23.041294	0.3591421	-17.798405	1.205548	31.97758460044861
4	5.8508773	3.3163579	22.0	3.0	22.5	1.118034	25.0	21.0	5.8508773	22.5	7999	20.487381	10.740964	30.118444	0.23085278	-24.751492	2.1800401	44.369513750076294
5	5.47541	2.93987	27.0	3.0	21.5	0.92195445	23.0	20.0	5.47541	21.5	9999	25.348303	13.651789	36.4939	0.10382882	-30.856544	3.1246538	57.102842569351196
6	28.985508	7.673581	58.0	19.0	27.3	0.45825756	28.0	27.0	28.985508	27.3	11999	30.2277	15.635695	41.532776	0.22318989	-36.22659	6.7460074	69.42737913131714
7	59.81818	15.441885	91.0	29.0	66.4	5.0039983	74.0	58.0	59.81818	66.4	13999	35.040966	16.499695	45.955624	0.08589345	-40.916454	9.646713	82.17759537696838
8	62.78125	28.232002	198.0	40.0	38.9	0.29999998	39.0	38.0	62.78125	38.9	15999	39.84427	17.553816	50.553013	0.25231135	-45.558926	8.18838	95.12041068077087
9	284.0	328.85254	1000.0	49.0	46.4	0.48989797	47.0	46.0	284.0	46.4	17999	44.352936	18.489107	55.23849	-0.08968723	-50.02388	7.778457	107.73582220077515
10	150.46153	248.42415	1000.0	51.0	1000.0	0.0	1000.0	1000.0	150.46153	1000.0	19999	48.53355	19.527119	59.238136	-0.0008431077	-54.001366	7.821673	123.87610936164856
11	1000.0	0.0	1000.0	1000.0	811.9	376.224	1000.0	50.0	1000.0	811.9	21999	52.36677	20.272394	62.9316	0.2334972	-57.670704	7.858483	138.95378518104553
12	88.695656	194.34402	1000.0	42.0	40.0	2.0	41.0	36.0	88.695656	40.0	23999	56.072563	20.90617	66.42422	0.5055654	-61.24921	7.0626163	151.47722625732422
13	39.215687	1.8819443	43.0	36.0	38.3	0.4582576	39.0	38.0	39.215687	38.3	25999	58.358814	22.176819	69.689865	-23.71632	-63.397453	7.843479	164.1651051044464
14	98.35294	225.43498	1000.0	34.0	1000.0	0.0	1000.0	1000.0	98.35294	1000.0	27999	60.05003	23.56134	72.40987	-22.962181	-65.047935	7.9190764	180.76400589942932
15	1000.0	0.0	1000.0	1000.0	1000.0	0.0	1000.0	1000.0	1000.0	1000.0	29999	62.816784	24.123756	74.981186	-15.990618	-67.67945	7.5662737	196.881187915802
16	1000.0	0.0	1000.0	1000.0	1000.0	0.0	1000.0	1000.0	1000.0	1000.0	31999	65.52886	24.398594	77.41318	-7.6117473	-70.253	7.706171	212.48085594177246
17	1000.0	0.0	1000.0	1000.0	1000.0	0.0	1000.0	1000.0	1000.0	1000.0	33999	68.042	24.819746	79.71001	-14.723503	-72.66995	7.3952494	228.16658520698547
18	1000.0	0.0	1000.0	1000.0	1000.0	0.0	1000.0	1000.0	1000.0	1000.0	35999	70.55656	24.89535	81.76746	-7.6422877	-75.02027	7.154691	244.07598781585693
19	1000.0	0.0	1000.0	1000.0	1000.0	0.0	1000.0	1000.0	1000.0	1000.0	37999	72.644966	25.144022	83.6142	-10.287456	-76.99228	7.512327	260.1546218395233
20	382.16666	336.6291	1000.0	62.0	1000.0	0.0	1000.0	1000.0	382.16666	1000.0	39999	74.77393	25.007977	85.225	-11.224187	-78.9535	7.991089	276.4794731140137
21	1000.0	0.0	1000.0	1000.0	1000.0	0.0	1000.0	1000.0	1000.0	1000.0	41999	76.67475	24.485527	86.60146	-2.805162	-80.74112	8.088556	292.2384281158447
22	576.5	423.5	1000.0	153.0	1000.0	0.0	1000.0	1000.0	576.5	1000.0	43999	78.68155	23.762226	87.929924	-14.973811	-82.58765	8.215412	308.23509907722473
23	1000.0	0.0	1000.0	1000.0	1000.0	0.0	1000.0	1000.0	1000.0	1000.0	45999	80.2289	23.686169	89.147514	1.0028865	-83.95185	7.1683855	324.11638712882996
24	1000.0	0.0	1000.0	1000.0	1000.0	0.0	1000.0	1000.0	1000.0	1000.0	47999	81.37895	23.740404	90.23016	0.9981096	-85.15031	8.235709	340.07710909843445
25	1000.0	0.0	1000.0	1000.0	1000.0	0.0	1000.0	1000.0	1000.0	1000.0	49999	82.69332	23.628073	91.24389	1.0592927	-86.24642	7.640882	356.32853603363037
26	1000.0	0.0	1000.0	1000.0	1000.0	0.0	1000.0	1000.0	1000.0	1000.0	51999	83.91761	23.445671	92.119156	-1.0635778	-87.412796	8.430952	372.5927195549011
27	1000.0	0.0	1000.0	1000.0	1000.0	0.0	1000.0	1000.0	1000.0	1000.0	53999	84.85443	23.688658	92.95549	-15.342962	-88.179474	7.6143928	389.34588098526
28	1000.0	0.0	1000.0	1000.0	1000.0	0.0	1000.0	1000.0	1000.0	1000.0	55999	85.73263	23.83758	93.75274	-6.287678	-89.068565	7.0344825	406.0679943561554
29	1000.0	0.0	1000.0	1000.0	1000.0	0.0	1000.0	1000.0	1000.0	1000.0	57999	86.86002	23.307146	94.48204	-2.5032623	-90.00825	6.9011006	422.46512055397034
30	678.6667	454.43396	1000.0	36.0	1000.0	0.0	1000.0	1000.0	678.6667	1000.0	59999	87.69863	23.05117	95.0645	-3.8602178	-90.863106	8.041811	438.5116081237793
31	1000.0	0.0	1000.0	1000.0	1000.0	0.0	1000.0	1000.0	1000.0	1000.0	61999	88.71574	22.361576	95.6313	-4.3889914	-91.74928	7.439032	454.67664790153503
32	1000.0	0.0	1000.0	1000.0	1000.0	0.0	1000.0	1000.0	1000.0	1000.0	63999	89.37649	22.247911	96.14027	-7.306919	-92.34688	6.842114	470.9524042606354
33	1000.0	0.0	1000.0	1000.0	1000.0	0.0	1000.0	1000.0	1000.0	1000.0	65999	90.02197	21.974632	96.6229	-16.589043	-92.885574	6.668716	486.9957666397095
34	1000.0	0.0	1000.0	1000.0	1000.0	0.0	1000.0	1000.0	1000.0	1000.0	67999	90.53931	21.955564	97.03908	-14.851934	-93.337654	6.939635	503.58793449401855
35	944.3333	78.724556	1000.0	833.0	1000.0	0.0	1000.0	1000.0	944.3333	1000.0	69999	91.28276	21.505651	97.40656	-15.685274	-94.00064	5.932288	519.9877262115479
36	1000.0	0.0	1000.0	1000.0	1000.0	0.0	1000.0	1000.0	1000.0	1000.0	71999	91.78927	21.23583	97.780594	-4.766927	-94.46653	6.6311846	536.2798976898193
37	1000.0	0.0	1000.0	1000.0	1000.0	0.0	1000.0	1000.0	1000.0	1000.0	73999	92.03207	21.379612	98.0388	-8.033783	-94.649086	6.421555	552.5589034557343
38	1000.0	0.0	1000.0	1000.0	1000.0	0.0	1000.0	1000.0	1000.0	1000.0	75999	92.51287	21.049067	98.275444	-18.493578	-95.11121	6.7729053	569.197562456131
39	737.5	262.5	1000.0	475.0	1000.0	0.0	1000.0	1000.0	737.5	1000.0	77999	92.95571	20.652473	98.492714	-15.693564	-95.42939	6.3479133	585.3352100849152
40	1000.0	0.0	1000.0	1000.0	813.5	373.00006	1000.0	67.0	1000.0	813.5	79999	93.25286	20.548832	98.75304	-14.760782	-95.64136	6.3776174	600.7515652179718
41	1000.0	0.0	1000.0	1000.0	1000.0	0.0	1000.0	1000.0	1000.0	1000.0	81999	93.43629	20.698523	98.93376	-20.10194	-95.85474	5.8120174	616.0466339588165
42	1000.0	0.0	1000.0	1000.0	1000.0	0.0	1000.0	1000.0	1000.0	1000.0	83999	93.816	20.526834	99.20488	-11.073528	-96.22778	5.3845906	631.3689737319946
43	1000.0	0.0	1000.0	1000.0	1000.0	0.0	1000.0	1000.0	1000.0	1000.0	85999	94.09169	20.341997	99.35762	-18.504322	-96.365875	5.6211076	646.3770661354065
44	1000.0	0.0	1000.0	1000.0	819.7	360.60007	1000.0	98.0	1000.0	819.7	87999	94.39588	20.006933	99.45991	-15.33778	-96.63549	6.165746	660.6960499286652
45	1000.0	0.0	1000.0	1000.0	1000.0	0.0	1000.0	1000.0	1000.0	1000.0	89999	94.5155	19.990704	99.54879	-7.4039373	-96.673645	6.1195292	675.6521008014679
46	1000.0	0.0	1000.0	1000.0	1000.0	0.0	1000.0	1000.0	1000.0	1000.0	91999	94.79529	19.52309	99.57946	-20.172207	-96.90948	5.6967254	690.9300820827484
47	1000.0	0.0	1000.0	1000.0	374.1	410.75067	1000.0	66.0	1000.0	374.1	93999	94.98669	19.220669	99.58889	-12.497268	-97.00142	5.382329	704.1620531082153
48	1000.0	0.0	1000.0	1000.0	138.9	80.1342	282.0	56.0	1000.0	138.9	95999	95.11741	19.163738	99.71466	-22.029608	-97.13739	5.5191045	716.6022071838379
49	535.75	464.25336	1000.0	69.0	1000.0	0.0	1000.0	1000.0	535.75	1000.0	97999	95.14098	19.244553	99.77328	-15.295914	-97.16708	5.379215	732.5198347568512
50	1000.0	0.0	1000.0	1000.0	55.1	3.8327537	62.0	50.0	1000.0	55.1	99999	95.41862	18.657364	99.79959	-27.471216	-97.38602	4.968022	744.6370983123779
