Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	AverageQVals	StdQVals	MaxQVals	MinQVals	LossPi	LossQ	Time
1	5.768786	3.2405949	21.0	2.0	54.9	9.76166	74.0	47.0	5.768786	54.9	1999	2.8608003	1.5368574	6.144256	-0.26826513	-3.2626953	0.15008843	6.366799592971802
2	5.2777777	2.6883216	20.0	2.0	23.2	3.2496152	31.0	20.0	5.2777777	23.2	3999	8.189741	4.536937	14.991996	0.14481637	-9.822524	0.31945422	17.80932903289795
3	5.3806973	2.7883043	22.0	2.0	20.8	0.9797958	22.0	19.0	5.3806973	20.8	5999	14.275287	7.9204845	22.989748	0.51006615	-17.488003	0.8674109	29.529934644699097
4	5.9880238	3.6171381	28.0	3.0	22.4	1.2	25.0	21.0	5.9880238	22.4	7999	19.793196	11.151592	30.169832	0.4729312	-24.327469	1.5146849	41.67438364028931
5	5.633803	3.1076438	26.0	3.0	16.9	0.70000005	18.0	16.0	5.633803	16.9	9999	24.78757	14.074022	36.657143	0.43539405	-30.519367	2.3323069	53.52067017555237
6	19.163462	2.0244212	22.0	3.0	20.1	0.8306624	21.0	18.0	19.163462	20.1	11999	29.514273	15.759552	39.779182	0.15153286	-35.501713	9.84395	65.74726510047913
7	27.097221	9.581753	61.0	17.0	58.7	2.3685439	62.0	55.0	27.097221	58.7	13999	32.064575	15.597454	41.363243	0.16148904	-37.518143	17.850916	78.09163808822632
8	42.708332	10.847346	95.0	27.0	34.3	0.9	36.0	33.0	42.708332	34.3	15999	35.327763	16.19134	45.105373	-0.20536476	-40.73892	11.24039	90.68552565574646
9	44.044445	8.479925	66.0	35.0	34.7	0.45825756	35.0	34.0	44.044445	34.7	17999	38.91022	16.698603	48.798424	-0.28407615	-44.19197	13.563232	103.30644059181213
10	41.770832	8.22405	78.0	35.0	40.7	0.64031243	42.0	40.0	41.770832	40.7	19999	42.96308	17.538956	52.907745	-0.4048037	-48.31718	12.620042	116.15104722976685
