Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	AverageQVals	StdQVals	MaxQVals	MinQVals	LossPi	LossQ	Time
1	5.4963236	3.2573428	28.0	3.0	9.3	0.4582576	10.0	9.0	5.4963236	9.3	1499	1.5941622	0.5833683	2.9886913	-0.4795593	-1.6160524	0.08402453	2.493393898010254
2	5.996016	3.733661	28.0	3.0	61.1	8.653901	83.0	50.0	5.996016	61.1	2999	5.070516	2.845674	11.815692	-1.683959	-6.107966	0.46165508	9.397618055343628
3	5.4744525	2.8066146	19.0	3.0	47.1	3.726929	57.0	44.0	5.4744525	47.1	4499	11.259617	5.8028965	23.302671	-2.2592719	-13.835971	1.5209702	16.433347463607788
4	6.0	3.6331804	26.0	3.0	35.7	3.9	42.0	30.0	6.0	35.7	5999	17.544447	9.26231	35.88158	-4.344917	-21.676123	2.898399	23.247823238372803
5	5.597015	3.1554723	19.0	3.0	34.8	3.3105893	38.0	28.0	5.597015	34.8	7499	23.727139	12.81114	45.773464	-5.607694	-29.370579	3.9532819	30.085369348526
6	5.9209485	3.3683126	27.0	3.0	38.0	2.9664795	42.0	31.0	5.9209485	38.0	8999	29.63886	16.121878	57.57694	-7.685521	-36.66704	5.2752905	36.78227233886719
7	8.104396	9.18761	46.0	3.0	42.0	1.0	44.0	41.0	8.104396	42.0	10499	35.53505	19.448626	87.479965	-6.581917	-43.87339	7.47447	43.63817071914673
8	41.86111	1.2053764	44.0	39.0	41.6	0.48989797	42.0	41.0	41.86111	41.6	11999	43.940174	23.306133	84.95227	-8.43789	-53.3703	10.743409	50.89143204689026
9	39.5	1.9159992	43.0	36.0	42.3	0.4582576	43.0	42.0	39.5	42.3	13499	52.21443	27.759125	85.60636	-9.430961	-62.332214	11.724767	58.25017023086548
10	41.583332	2.4195385	44.0	33.0	43.0	0.6324555	44.0	42.0	41.583332	43.0	14999	57.505413	32.225506	90.83025	-35.100605	-67.89231	14.884069	65.59318232536316
11	43.794117	0.7186348	45.0	42.0	44.1	0.29999998	45.0	44.0	43.794117	44.1	16499	59.037155	36.088497	99.354225	-18.238617	-69.38717	15.436032	73.76275515556335
12	45.757576	1.4361206	49.0	43.0	48.1	0.5385165	49.0	47.0	45.757576	48.1	17999	58.641945	38.462017	112.32787	-13.846303	-68.403854	15.775443	81.13242816925049
13	48.258064	1.3190354	51.0	46.0	49.8	1.4696939	52.0	47.0	48.258064	49.8	19499	56.18884	39.124405	125.553566	-18.281824	-65.334114	15.222245	88.38515043258667
14	51.206898	2.6311045	56.0	47.0	73.0	4.1472883	82.0	66.0	51.206898	73.0	20999	53.066784	36.99145	135.39645	-27.167454	-61.299114	14.175539	95.45510745048523
15	34.477272	11.256289	67.0	18.0	38.2	0.4	39.0	38.0	34.477272	38.2	22499	54.177586	38.377827	143.87447	-48.073204	-63.87072	15.687076	102.52753520011902
16	37.375	1.4263152	40.0	35.0	40.3	1.3453624	42.0	38.0	37.375	40.3	23999	69.01061	50.39126	160.35522	-38.85638	-83.21562	19.267433	109.6033148765564
17	54.133335	15.448265	99.0	39.0	1000.0	0.0	1000.0	1000.0	54.133335	1000.0	25499	85.92657	59.07261	166.08525	-22.160612	-100.23301	25.66705	119.90159058570862
18	1000.0	0.0	1000.0	1000.0	1000.0	0.0	1000.0	1000.0	1000.0	1000.0	26999	91.151085	61.284946	168.91164	-23.383993	-103.76683	24.492998	130.27841639518738
19	1000.0	0.0	1000.0	1000.0	1000.0	0.0	1000.0	1000.0	1000.0	1000.0	28499	94.074646	62.082535	171.72273	-20.833376	-106.40398	20.856167	140.4753291606903
20	1000.0	0.0	1000.0	1000.0	1000.0	0.0	1000.0	1000.0	1000.0	1000.0	29999	96.23311	63.4185	174.3075	-21.17309	-107.90457	19.168007	150.72678327560425
