Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time
0	8.1081085	3.9082987	25.0	4.0	8.1081085	0.2932312	0.051178038	0.37897092	0.10226323	1500	-1.150767e-07	39.325584	-0.021038517	-25.405575	0.91893816	0.021393852	0.19733334	4.0	1.6940453052520752
1	10.388889	5.570397	41.0	4.0	10.388889	4.052124	0.9724002	4.4578214	-2.9675317	3000	-1.4503797e-09	31.861898	-0.020569384	-7.8048897	0.9177393	0.017064856	0.246	6.0	3.366844654083252
2	11.795276	6.7173986	47.0	4.0	11.795276	6.057387	1.0550331	6.496006	-0.97882414	4500	-1.4990569e-08	38.0336	-0.021883171	-4.0360107	0.91618645	0.01523871	0.18266666	8.0	5.017922401428223
3	16.304348	10.133607	57.0	5.0	16.304348	7.3987565	1.3994137	7.931041	0.09620184	6000	6.7750614e-09	76.21669	-0.019283222	-11.293236	0.91399026	0.015160426	0.16933334	8.0	6.681447267532349
4	20.175676	11.563407	61.0	4.0	20.175676	9.874654	1.5907621	10.338446	-3.3298764	7500	-9.914239e-09	86.76643	-0.022402428	-8.506233	0.91164845	0.006756657	0.138	79.0	8.870643377304077
5	24.16949	14.931655	73.0	6.0	24.16949	11.644418	2.3064537	12.411951	-2.3923569	9000	1.513958e-08	159.34392	-0.018942822	-19.008224	0.90107554	0.016994817	0.178	11.0	10.507225036621094
6	35.390244	18.093088	75.0	8.0	35.390244	14.254094	2.9474993	15.241778	-2.847866	10500	-1.2119611e-08	186.8843	-0.019353058	-36.503067	0.8981631	0.009214104	0.138	79.0	12.598806381225586
7	51.62069	28.983246	159.0	7.0	51.62069	16.839275	3.6880548	18.322058	-15.805053	12000	3.747145e-08	377.12668	-0.016595278	-103.95648	0.87716365	0.009378212	0.10666667	79.0	14.651728630065918
8	63.545456	20.321793	95.0	12.0	63.545456	19.363192	5.9710016	23.13274	0.8570678	13500	6.314119e-08	263.46854	-0.0035973615	-78.69864	0.85973334	0.015979864	0.18733333	5.0	16.217106342315674
9	57.153847	18.682966	105.0	8.0	57.153847	23.435282	6.8728294	26.786036	1.2427903	15000	-1.6311805e-08	148.3301	-0.008116983	-24.263351	0.858983	0.02116321	0.26066667	4.0	17.7616126537323
10	88.05882	30.803877	174.0	43.0	88.05882	20.2976	9.291363	28.44564	2.3987193	16500	-5.0465268e-08	519.7099	-0.007211236	-197.01007	0.8580048	0.017214268	0.19733334	7.0	19.414228916168213
11	83.94118	33.694946	149.0	43.0	83.94118	27.48235	8.416967	32.000668	2.2451606	18000	4.2239826e-08	314.21643	-0.009207942	-61.55458	0.8561783	0.020711953	0.19266666	6.0	20.952154636383057
12	145.0	73.598915	336.0	76.0	145.0	30.744024	8.279408	35.21238	1.2565902	19500	7.23203e-09	830.1099	-0.010104563	-178.51166	0.85480565	0.007224983	0.06866667	79.0	23.05961275100708
13	217.83333	104.92762	364.0	87.0	217.83333	35.880527	8.256844	39.99226	1.757513	21000	8.4559126e-08	1189.694	-0.0042425846	-268.57507	0.828405	0.015106539	0.188	4.0	24.63759160041809
14	184.75	78.196465	277.0	31.0	184.75	39.522064	11.187465	44.944508	3.3484035	22500	1.2596448e-08	740.98175	-0.003490739	-115.555725	0.8274551	0.016603366	0.24066667	4.0	26.379096746444702
15	267.25	133.98578	453.0	99.0	267.25	45.7663	6.582005	48.00921	3.7767813	24000	3.4411748e-08	1415.4618	-0.012533824	-283.59656	0.8263067	0.009498414	0.088	79.0	28.52962327003479
16	1000.0	0.0	1000.0	1000.0	1000.0	51.588436	2.0408545	51.83572	18.619186	25500	1.0172526e-07	1874.9889	-0.0032633569	-390.73035	0.817774	0.01680442	0.21133333	4.0	30.050638914108276
17	226.4	123.80889	387.0	43.0	226.4	56.433834	2.7945287	56.67514	10.654102	27000	-1.3311704e-09	898.6022	-0.008989286	-182.034	0.817905	0.00998997	0.075333335	79.0	32.12248158454895
18	1000.0	0.0	1000.0	1000.0	1000.0	58.744453	0.34891966	58.766087	49.83358	28500	7.756551e-08	1366.3574	-0.0060002515	-237.06189	0.8316374	0.0042275246	0.05	79.0	34.18565893173218
19	628.0	372.0	1000.0	256.0	628.0	62.02747	3.193626	62.259045	4.879594	30000	-1.4781952e-08	1007.50415	-0.0021421935	-176.3775	0.80233103	0.016275743	0.27	4.0	35.716078758239746
