Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time
0	9.072727	4.557463	31.0	4.0	9.072727	0.1307688	0.017133148	0.17149663	0.099912465	1500	-1.0299683e-07	51.261364	-0.024646476	-33.04364	0.91893816	0.015130146	0.126	20.0	1.6303374767303467
1	10.5422535	6.210649	52.0	4.0	10.5422535	5.9517407	0.9470371	11.407091	4.8142486	3000	5.066395e-10	36.394493	-0.0276483	-9.5166645	0.91337836	0.011017316	0.19466667	79.0	3.6278014183044434
2	14.037736	7.6601453	41.0	4.0	14.037736	7.5873857	2.3388083	10.361782	0.35599098	4500	-2.1855036e-10	36.405087	-0.030549405	-4.249283	0.8888737	0.016092258	0.22866666	16.0	5.230906963348389
3	17.406977	9.935113	62.0	5.0	17.406977	9.104717	2.7229576	12.165364	1.1410865	6000	4.430612e-09	60.72474	-0.022297336	-9.959095	0.8805689	0.015543728	0.154	10.0	6.777555704116821
4	26.446428	13.824047	60.0	7.0	26.446428	11.048874	3.4603326	15.150104	0.5436154	7500	-3.5464764e-09	98.535614	-0.027937474	-36.189194	0.8746914	0.0131017	0.182	79.0	8.673238277435303
5	36.625	20.037075	78.0	9.0	36.625	14.065502	7.107555	23.169214	0.41027066	9000	-2.8212865e-09	152.36746	-0.031019459	-47.39016	0.8537896	0.015066962	0.202	60.0	10.4942147731781
6	48.266666	22.950575	102.0	6.0	48.266666	19.185112	7.9843435	29.90987	0.6647892	10500	-1.8437703e-08	156.8111	-0.019467758	-47.965218	0.8349023	0.015148121	0.17333333	18.0	12.020332098007202
7	60.291668	26.914185	122.0	8.0	60.291668	25.797886	10.283681	39.570038	-0.1808771	12000	1.9053617e-08	172.92	-0.01494745	-40.03911	0.8281038	0.01611094	0.17533334	13.0	13.500088453292847
8	86.117645	38.96436	171.0	25.0	86.117645	30.28623	10.793461	46.43384	0.24367864	13500	5.9405965e-09	289.86838	-0.018712178	-91.95174	0.8224138	0.008576167	0.08933333	79.0	15.369897842407227
9	90.64286	23.014303	136.0	51.0	90.64286	37.69303	14.409685	55.798405	-0.7877089	15000	5.4637592e-09	301.99908	-0.021896303	-75.27965	0.80177647	0.013398703	0.15333334	79.0	17.22789740562439
10	180.125	104.92073	408.0	61.0	180.125	44.335358	17.755775	68.56503	-0.4907027	16500	2.237161e-08	495.19345	-0.010844577	-290.58185	0.78703344	0.015125822	0.14666666	13.0	18.803903341293335
11	184.625	84.2703	380.0	99.0	184.625	56.946186	24.07803	87.230064	-0.30715722	18000	-1.7856559e-08	383.84543	-0.0038955084	-150.69432	0.7845121	0.015794503	0.116	4.0	20.28283166885376
12	136.55556	32.56143	175.0	76.0	136.55556	50.080837	22.642235	80.83851	2.9714122	19500	4.45048e-09	133.99405	-0.011684121	-50.61576	0.78343976	0.01693814	0.26866665	3.0	21.717732667922974
13	247.6	120.57462	427.0	64.0	247.6	58.689697	18.912312	86.1317	2.8688946	21000	-2.2669633e-08	531.77155	0.0027946755	-262.27573	0.78252727	0.015420173	0.306	3.0	23.209060668945312
14	150.33333	53.208187	238.0	76.0	150.33333	59.56347	27.511892	90.8625	-1.8578883	22500	3.973643e-09	247.47726	-0.007994162	-91.53899	0.78168	0.02331034	0.31	3.0	24.637653589248657
15	321.25	94.539345	400.0	166.0	321.25	62.850098	19.532347	79.815544	-0.43930045	24000	6.9538753e-09	331.68225	0.0022400857	-115.854065	0.7807804	0.018215653	0.28	3.0	26.08579921722412
16	295.6	120.395355	490.0	148.0	295.6	71.470184	20.954702	90.393394	1.5851457	25500	-1.9659598e-08	186.38048	-0.007854407	-128.42856	0.77977026	0.02064616	0.284	5.0	27.594199419021606
17	344.0	87.0	431.0	257.0	344.0	81.304016	11.286221	97.02308	50.221127	27000	-9.5715125e-09	669.7172	-0.0053092707	-321.45633	0.7783601	0.023603734	0.29733333	3.0	29.015814065933228
18	236.5	107.91779	408.0	138.0	236.5	59.99447	20.471481	99.43123	3.054948	28500	-5.741914e-09	293.3635	-0.013923653	-112.39604	0.77770954	0.021799337	0.21866667	3.0	30.41471266746521
19	1000.0	0.0	1000.0	1000.0	1000.0	79.20885	9.490055	100.455315	53.82009	30000	1.7077351e-08	321.07452	-0.014039905	-266.91156	0.77716935	0.036550004	0.41266668	2.0	31.87978720664978
