Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	AverageQVals	StdQVals	MaxQVals	MinQVals	LossPi	LossQ	Time
1	5.990964	3.3125231	22.0	3.0	50.7	7.9630394	67.0	43.0	5.990964	50.7	1999	2.3683038	1.1758559	5.943519	-0.5222213	-2.633604	0.1368218	4.901365518569946
2	5.677966	3.2133586	20.0	3.0	53.5	6.2008066	64.0	44.0	5.677966	53.5	3999	8.308361	4.5564103	19.718014	-2.1009753	-10.073961	0.88900584	13.753594398498535
3	5.6525426	3.1192236	21.0	2.0	23.0	1.0	25.0	21.0	5.6525426	23.0	5999	16.828115	9.0323	34.1809	-5.393216	-20.8604	2.5609477	22.608022928237915
4	5.765896	3.2461793	20.0	3.0	22.8	0.9797958	24.0	21.0	5.765896	22.8	7999	26.235035	14.193135	50.357727	-7.5219593	-32.6918	5.3322268	31.087897062301636
5	5.4281845	3.2461555	24.0	3.0	21.7	1.0049876	23.0	20.0	5.4281845	21.7	9999	36.117	19.829681	73.40805	-11.027169	-45.157936	8.827127	39.72547483444214
6	35.375	5.86321	42.0	23.0	43.6	0.66332495	44.0	42.0	35.375	43.6	11999	48.476234	25.595652	81.459785	-13.44868	-59.456764	18.656237	48.768287897109985
7	40.734695	2.3799803	46.0	36.0	37.0	0.0	37.0	37.0	40.734695	37.0	13999	58.37279	29.796038	87.22831	-16.584293	-69.40616	17.954557	57.6614043712616
8	38.153847	6.1905155	55.0	11.0	50.1	0.8306624	51.0	49.0	38.153847	50.1	15999	62.27536	33.092373	100.9203	-17.501902	-73.01801	18.443377	66.73354840278625
9	43.19149	11.102305	69.0	25.0	46.9	0.9433981	48.0	45.0	43.19149	46.9	17999	64.08779	35.766487	118.08136	-20.256018	-74.326225	19.940367	76.27615690231323
10	38.28846	4.6630154	48.0	30.0	29.6	0.48989794	30.0	29.0	38.28846	29.6	19999	68.14345	40.104317	128.01831	-38.89075	-78.701675	24.095972	85.40740084648132
11	31.484375	1.2746592	35.0	29.0	31.3	0.4582576	32.0	31.0	31.484375	31.3	21999	76.679	45.764477	135.83813	-39.58456	-88.47496	29.36818	94.44900178909302
12	31.571428	2.165489	41.0	27.0	36.1	3.5902648	40.0	28.0	31.571428	36.1	23999	83.87196	50.545597	139.76161	-30.210464	-96.02483	29.540237	103.80848670005798
13	42.68085	2.7760863	50.0	37.0	47.4	2.6153393	50.0	42.0	42.68085	47.4	25999	83.76887	51.475204	142.4298	-37.38247	-94.98866	27.850634	113.09182000160217
14	61.03846	30.394182	168.0	38.0	1000.0	0.0	1000.0	1000.0	61.03846	1000.0	27999	78.398705	49.421402	143.6841	-35.898422	-88.71029	24.93874	125.5937728881836
15	454.4	302.05536	818.0	91.0	118.6	4.2708316	125.0	112.0	454.4	118.6	29999	78.93186	46.969345	148.21854	-43.32627	-89.56295	25.18658	135.3844735622406
16	256.4	124.71022	475.0	109.0	1000.0	0.0	1000.0	1000.0	256.4	1000.0	31999	84.71303	47.568974	148.23813	-55.409798	-94.89367	23.337885	148.42277193069458
17	1000.0	0.0	1000.0	1000.0	1000.0	0.0	1000.0	1000.0	1000.0	1000.0	33999	91.61008	47.757595	150.0678	-70.017654	-101.354	23.422432	161.5746579170227
18	1000.0	0.0	1000.0	1000.0	1000.0	0.0	1000.0	1000.0	1000.0	1000.0	35999	98.2118	48.80161	152.93225	-61.84231	-107.69598	22.248386	174.6821630001068
19	1000.0	0.0	1000.0	1000.0	1000.0	0.0	1000.0	1000.0	1000.0	1000.0	37999	105.63975	51.254562	161.38547	-56.08194	-115.23134	23.956175	187.41370511054993
20	1000.0	0.0	1000.0	1000.0	1000.0	0.0	1000.0	1000.0	1000.0	1000.0	39999	112.27851	54.082413	166.45218	-54.11695	-121.707886	22.45742	200.17935848236084
21	1000.0	0.0	1000.0	1000.0	1000.0	0.0	1000.0	1000.0	1000.0	1000.0	41999	118.40917	55.891445	172.7909	-48.58408	-127.891716	22.079813	213.33826208114624
22	666.0	267.94525	1000.0	344.0	1000.0	0.0	1000.0	1000.0	666.0	1000.0	43999	125.58919	57.537224	180.2964	-32.337765	-135.07411	24.421188	226.46412873268127
23	1000.0	0.0	1000.0	1000.0	1000.0	0.0	1000.0	1000.0	1000.0	1000.0	45999	131.0315	57.61161	187.67216	-31.694569	-140.26732	24.352808	239.72404980659485
24	1000.0	0.0	1000.0	1000.0	1000.0	0.0	1000.0	1000.0	1000.0	1000.0	47999	135.85373	57.905014	194.122	-32.298775	-145.1694	24.119396	253.26973414421082
25	1000.0	0.0	1000.0	1000.0	1000.0	0.0	1000.0	1000.0	1000.0	1000.0	49999	141.84286	57.18646	207.31528	-38.766747	-151.02966	24.400589	266.3736824989319
26	1000.0	0.0	1000.0	1000.0	1000.0	0.0	1000.0	1000.0	1000.0	1000.0	51999	148.75896	56.075565	224.56296	-36.412647	-158.15085	25.59642	279.3786790370941
27	1000.0	0.0	1000.0	1000.0	1000.0	0.0	1000.0	1000.0	1000.0	1000.0	53999	155.01112	54.083946	236.11736	-41.669544	-164.0024	26.032188	292.20894265174866
28	1000.0	0.0	1000.0	1000.0	1000.0	0.0	1000.0	1000.0	1000.0	1000.0	55999	160.74498	52.4426	236.21216	-42.174686	-169.84328	27.916485	304.93634843826294
29	1000.0	0.0	1000.0	1000.0	1000.0	0.0	1000.0	1000.0	1000.0	1000.0	57999	166.58026	52.829136	242.03929	-52.73955	-175.4235	29.349707	317.9231913089752
30	1000.0	0.0	1000.0	1000.0	1000.0	0.0	1000.0	1000.0	1000.0	1000.0	59999	172.35104	53.326885	263.65723	-62.574226	-181.40659	29.96132	330.75711822509766
31	1000.0	0.0	1000.0	1000.0	1000.0	0.0	1000.0	1000.0	1000.0	1000.0	61999	179.24464	54.65961	278.41	-44.76302	-188.482	31.240261	343.72854351997375
32	1000.0	0.0	1000.0	1000.0	1000.0	0.0	1000.0	1000.0	1000.0	1000.0	63999	188.35278	57.644444	293.16388	-62.12204	-198.23662	36.938656	356.7694036960602
33	1000.0	0.0	1000.0	1000.0	1000.0	0.0	1000.0	1000.0	1000.0	1000.0	65999	197.3248	59.956688	314.42487	-58.329185	-207.22226	37.243404	370.00900888442993
34	1000.0	0.0	1000.0	1000.0	1000.0	0.0	1000.0	1000.0	1000.0	1000.0	67999	205.8112	63.68027	326.22183	-56.4727	-215.92398	34.363945	383.1440658569336
35	1000.0	0.0	1000.0	1000.0	1000.0	0.0	1000.0	1000.0	1000.0	1000.0	69999	215.93852	68.54374	326.20203	-60.483273	-226.54532	40.0581	395.95849537849426
36	1000.0	0.0	1000.0	1000.0	1000.0	0.0	1000.0	1000.0	1000.0	1000.0	71999	226.72754	73.22906	331.94418	-67.03336	-237.72447	40.466763	409.01956605911255
37	1000.0	0.0	1000.0	1000.0	1000.0	0.0	1000.0	1000.0	1000.0	1000.0	73999	237.2803	78.20275	334.18954	-62.221664	-248.59753	46.05612	421.98240089416504
