Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time
0	10.230769	5.387838	33.0	4.0	10.230769	0.07801847	0.010341544	0.13701412	-0.0119515285	2000	-7.289648e-08	67.62911	-0.02097264	-44.547318	0.918938	0.017627897	0.1905	8.0	1.7986118793487549
1	12.341615	6.7723455	41.0	4.0	12.341615	6.4261756	0.36200923	6.7448354	3.644828	4000	1.1622905e-08	36.873737	-0.019130336	-5.4434605	0.91664755	0.015678165	0.183	9.0	3.6551358699798584
2	13.520548	6.4502516	34.0	4.0	13.520548	8.011144	1.0842752	8.875215	1.9233078	6000	5.798414e-09	30.327162	-0.020074693	-2.0224838	0.91429186	0.01747693	0.179	9.0	5.460709810256958
3	17.5	10.553331	54.0	4.0	17.5	8.5574875	1.6739162	10.1751995	2.0575612	8000	1.34520235e-08	75.83539	-0.017692115	-10.751617	0.9115946	0.015514636	0.156	10.0	7.207438945770264
4	28.811594	17.78069	96.0	6.0	28.811594	11.508512	2.0751078	13.213489	-0.5679695	10000	1.6495585e-08	190.11893	-0.017966447	-44.698334	0.9083036	0.0042965147	0.1055	79.0	9.307634353637695
5	37.03846	16.37066	67.0	8.0	37.03846	16.482965	3.7542133	19.513527	-1.2570298	12000	-3.118813e-08	148.05707	-0.020638864	-34.337288	0.9009481	0.005750094	0.1315	79.0	11.395628929138184
6	48.414635	20.866564	85.0	8.0	48.414635	19.329727	5.390385	25.016502	2.6929207	14000	6.7055224e-09	161.02916	-0.011492296	-42.53428	0.88639146	0.016023017	0.148	11.0	13.188328266143799
7	68.75862	29.183907	142.0	22.0	68.75862	24.60763	8.099601	31.099997	0.11732715	16000	-1.0713935e-08	258.99512	-0.007932626	-75.83615	0.8827745	0.015292075	0.1315	12.0	14.85512661933899
8	82.75	37.180023	196.0	9.0	82.75	29.902542	10.055171	39.01313	-0.35741124	18000	-9.045005e-09	267.24063	-0.015098824	-65.72739	0.877521	0.009087426	0.1175	79.0	16.941473722457886
9	131.4	74.69565	261.0	36.0	131.4	38.173206	10.416871	45.589397	0.9551999	20000	-4.7057867e-08	606.61945	-0.016272722	-212.51825	0.8553418	0.008283795	0.1105	79.0	18.997873544692993
10	179.9	74.494896	335.0	65.0	179.9	46.043728	14.299928	56.76385	0.76482534	22000	1.5765428e-08	574.1948	-0.013920218	-221.45679	0.8460551	0.012568861	0.0995	79.0	21.12047004699707
