Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time
0	9.3755865	4.159921	23.0	4.0	9.3755865	0.13180673	0.016588736	0.17494571	0.09997002	2000	-5.173683e-08	48.49673	-0.023792278	-33.166794	0.918938	0.015492771	0.16	22.0	2.174456834793091
1	10.842391	5.7277117	40.0	4.0	10.842391	6.042917	1.127397	11.944496	4.6107163	4000	1.527369e-08	30.380135	-0.021604152	-8.482048	0.9128495	0.01547031	0.1835	22.0	4.331968545913696
2	12.553459	7.137153	58.0	4.0	12.553459	7.2231297	2.2897425	9.571306	0.5097661	6000	-2.3216009e-08	34.928867	-0.026031224	-3.3812675	0.90551656	0.015571257	0.166	15.0	6.357553958892822
3	18.509434	10.562701	51.0	5.0	18.509434	8.572137	2.5184102	12.720031	0.7107939	8000	4.3809414e-09	71.53866	-0.028867178	-16.828503	0.8992803	0.0059627467	0.186	79.0	8.805758476257324
4	22.976744	17.47688	107.0	5.0	22.976744	12.033316	3.5813055	16.764608	0.37796387	10000	-7.133931e-09	162.9556	-0.026051546	-28.839996	0.8761821	0.015803235	0.2055	21.0	10.870545148849487
5	34.344826	21.51948	103.0	6.0	34.344826	14.678833	6.6251874	25.192232	0.6859535	12000	-7.212162e-09	197.08986	-0.016365614	-53.56169	0.8698844	0.016603287	0.161	13.0	12.824922561645508
6	49.825	31.869177	142.0	9.0	49.825	20.975597	6.6756725	29.274158	1.8963094	14000	3.902614e-08	279.17627	-0.023653483	-60.545593	0.865398	0.00737223	0.1185	79.0	15.175842523574829
7	65.9	29.704489	120.0	9.0	65.9	27.159563	9.455486	40.01417	1.9544194	16000	-1.3053417e-08	202.37166	-0.022204604	-30.503845	0.84600383	0.0083378395	0.1065	79.0	17.42437982559204
8	83.86957	47.22868	194.0	19.0	83.86957	31.30948	11.37898	47.835194	2.1374934	18000	5.884841e-08	331.4721	-0.0058891457	-96.08182	0.8292916	0.015515699	0.136	4.0	19.216022968292236
9	90.5	33.87779	179.0	30.0	90.5	36.594982	16.971537	58.366604	1.8394468	20000	7.688999e-09	190.89291	-0.010735428	-42.394455	0.8285038	0.016863748	0.243	4.0	21.10530114173889
10	99.2	31.533476	179.0	58.0	99.2	39.644962	14.773808	59.276066	0.4442258	22000	-1.5087426e-10	170.73776	-0.007721668	-39.124268	0.82756484	0.01921666	0.1665	8.0	23.025331497192383
11	127.13333	52.18795	258.0	60.0	127.13333	37.421722	16.657814	60.023067	-0.76793027	24000	1.8499792e-08	371.38174	-0.0054607913	-168.63072	0.8259003	0.016262652	0.2175	3.0	24.90152907371521
12	113.82353	62.74808	303.0	38.0	113.82353	43.056538	19.255844	71.29848	0.056524754	26000	-5.5022538e-09	211.81027	-0.011086549	-59.045288	0.8251889	0.024233738	0.3345	5.0	26.738444566726685
13	195.4	68.03851	279.0	14.0	195.4	47.410572	18.999044	79.02162	0.34418803	28000	1.1324882e-08	380.07614	-0.0047598346	-215.24823	0.82411563	0.01748117	0.2695	4.0	28.557892084121704
14	131.26666	42.323303	229.0	69.0	131.26666	62.17905	24.140245	94.88271	-1.6812756	30000	7.778406e-09	413.4864	-0.014522864	-283.34155	0.82308495	0.03383778	0.3705	3.0	30.408061981201172
15	180.09091	75.03993	326.0	71.0	180.09091	52.225002	14.535947	70.9772	1.5785533	32000	-5.207956e-09	427.31863	-0.008249769	-98.73584	0.8222592	0.018260734	0.1445	8.0	32.339139223098755
16	518.6667	370.63757	992.0	87.0	518.6667	56.745586	16.665817	78.808975	13.942456	34000	3.1918287e-08	1249.6559	-0.014597841	-887.48303	0.81954986	0.004842585	0.084	79.0	34.67749857902527
17	844.5	155.5	1000.0	689.0	844.5	89.21575	7.527264	102.73527	58.304844	36000	9.1046095e-09	293.23624	-0.003110816	-64.73489	0.81497055	0.019486014	0.2145	5.0	36.54492211341858
18	249.5	84.973526	362.0	61.0	249.5	88.83209	9.4282055	100.87476	22.326654	38000	3.197789e-08	935.92267	-0.006751022	-776.90515	0.81431556	0.018387575	0.2105	4.0	38.541908502578735
