Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time
0	10.445026	5.491151	36.0	3.0	10.445026	0.07956197	0.011064947	0.19487126	0.04752861	2000	1.9079447e-07	70.401405	-0.02246879	-46.084694	0.918938	0.017505674	0.1925	8.0	1.8532192707061768
1	12.903226	7.161523	46.0	4.0	12.903226	6.4752164	0.29281616	7.073859	4.839786	4000	1.8201769e-08	41.087105	-0.018521579	-5.6823235	0.9166366	0.015678838	0.1755	9.0	3.6544089317321777
2	15.236641	9.643913	67.0	4.0	15.236641	8.574014	1.1813153	9.342117	0.50102454	6000	-9.220093e-09	66.63807	-0.014689331	-5.9902687	0.91398966	0.015255598	0.2045	13.0	5.45953631401062
3	17.54386	10.549084	53.0	6.0	17.54386	10.167395	1.4824352	11.710239	0.63752836	8000	1.9449741e-08	69.10139	-0.018023117	-4.1046677	0.9105254	0.01551559	0.1405	11.0	7.25755500793457
4	27.957747	15.981889	78.0	7.0	27.957747	11.452127	1.9465113	13.3834505	-0.040404588	10000	4.4852495e-09	151.1057	-0.019640097	-38.250603	0.90726906	0.008305701	0.1185	79.0	9.466221809387207
5	34.25862	17.7779	90.0	9.0	34.25862	16.022108	3.4341466	19.148565	-0.23133606	12000	-1.6316772e-08	134.77278	-0.023260053	-19.177193	0.8983683	0.015048726	0.1605	50.0	11.427116870880127
6	49.846153	19.351723	85.0	13.0	49.846153	18.940582	5.1092772	23.63342	-1.2646682	14000	-2.849102e-08	176.15242	-0.016723642	-62.31669	0.88488126	0.009363553	0.102	79.0	13.527046918869019
7	63.48387	27.818386	138.0	9.0	63.48387	22.622366	8.54366	31.256685	0.28788286	16000	3.2529236e-08	200.46245	-0.011637923	-76.94074	0.859462	0.004191012	0.069	79.0	15.623023748397827
8	82.541664	24.829384	166.0	45.0	82.541664	29.977983	11.261321	39.094112	0.44256377	18000	2.2470951e-08	153.4898	-0.00862483	-43.750114	0.84240687	0.015029328	0.1595	13.0	17.312321424484253
9	117.411766	52.402355	189.0	50.0	117.411766	34.96961	12.100358	45.119755	2.9184234	20000	-1.6987324e-09	389.89105	-0.0070189727	-146.64172	0.8416016	0.017853202	0.163	4.0	18.977664709091187
10	99.45	35.929756	164.0	50.0	99.45	39.854374	16.626726	55.436123	1.8113084	22000	-1.0047108e-08	230.0644	-0.012525699	-65.48303	0.84110874	0.015672036	0.1775	5.0	20.653180599212646
11	117.64706	45.063274	246.0	46.0	117.64706	42.89436	14.6739025	56.477707	1.8611286	24000	-1.7300248e-08	315.63757	-0.014060278	-75.57538	0.8400693	0.015130075	0.1315	38.0	22.520358562469482
12	355.8	149.69221	556.0	129.0	355.8	46.05979	12.768014	59.908955	3.1930783	26000	-3.552437e-08	1257.4159	-0.012420406	-865.7124	0.82989585	0.0038324932	0.058	79.0	24.62214183807373
13	621.3333	366.77908	1000.0	125.0	621.3333	70.193146	10.687011	73.99068	4.389762	28000	9.346008e-08	625.53705	-0.008793536	-351.5845	0.8149161	0.0026329814	0.069	79.0	26.704317808151245
14	1000.0	0.0	1000.0	1000.0	1000.0	84.34287	3.7718475	85.01045	41.105648	30000	1.692772e-08	224.68097	-0.0060930857	-182.27924	0.807869	0.018816037	0.238	6.0	28.317461490631104
15	481.75	317.79504	1000.0	171.0	481.75	91.31578	7.274667	92.856476	10.504047	32000	5.5655835e-09	410.5451	-0.0052412297	-274.02106	0.80690247	0.020861598	0.215	6.0	29.95557451248169
16	914.0	86.0	1000.0	828.0	914.0	92.85339	4.533406	93.954994	44.110897	34000	-1.3653189e-09	170.37732	-0.006679795	-37.19969	0.80709773	0.007654303	0.0955	79.0	32.021246910095215
17	1000.0	0.0	1000.0	1000.0	1000.0	95.547195	0.11553833	95.613655	94.64994	36000	-5.92947e-07	16.929306	-0.005442765	-13.605899	0.7832911	0.019266851	0.2645	5.0	33.645782709121704
18	994.0	6.0	1000.0	988.0	994.0	98.03768	0.043344356	98.05098	96.973015	38000	-3.5576522e-09	230.25621	-6.7318484e-05	-7.9396973	0.78213453	0.016037982	0.1465	4.0	35.24905300140381
19	843.5	122.5	966.0	721.0	843.5	96.10371	0.7969654	96.26057	79.44119	40000	-1.558289e-08	430.9895	-0.009934515	-52.34784	0.7809039	0.002701874	0.0675	79.0	37.33940315246582
20	1000.0	0.0	1000.0	1000.0	1000.0	91.01174	3.2066612	92.62366	58.644276	42000	2.4229289e-08	80.4932	-0.005734342	-71.49271	0.777053	0.0029624025	0.0355	79.0	39.477039098739624
21	1000.0	0.0	1000.0	1000.0	1000.0	96.719826	0.014680404	96.726746	96.535774	44000	-3.976822e-07	9.1634035	-0.0015174184	-7.8319626	0.7531626	0.017024595	0.1985	7.0	41.117724895477295
22	1000.0	0.0	1000.0	1000.0	1000.0	98.70527	0.19306758	98.74438	91.333336	46000	-2.2053719e-08	1.4719747	-0.0032550225	-1.2630298	0.7515766	0.0064389836	0.0665	79.0	43.17246174812317
23	1000.0	0.0	1000.0	1000.0	1000.0	99.55194	0.019235257	99.5603	99.1574	48000	1.628399e-07	0.17079996	-0.0033147295	-0.15050533	0.74172604	0.0035165194	0.0375	79.0	45.22012400627136
24	1000.0	0.0	1000.0	1000.0	1000.0	99.84657	0.015045563	99.85262	99.5155	50000	4.1365624e-08	0.02021756	-0.002825009	-0.017670723	0.71841687	0.019812074	0.1765	5.0	46.853034019470215
25	1000.0	0.0	1000.0	1000.0	1000.0	99.952805	0.0038462863	99.95474	99.8838	52000	1.1837482e-07	0.0019062847	-0.005037588	-0.0017053923	0.7171356	0.0016060356	0.0375	79.0	48.92567825317383
26	1000.0	0.0	1000.0	1000.0	1000.0	99.985565	0.003828611	99.98718	99.89002	54000	4.798174e-08	0.00019551278	-0.0028682575	-0.00016347034	0.70507437	0.0021689143	0.024	79.0	50.98805475234985
27	1000.0	0.0	1000.0	1000.0	1000.0	99.99556	0.0033727102	99.9974	99.93778	56000	9.849668e-09	2.9253406e-05	-0.0042121396	-1.642361e-05	0.6824875	0.0038460991	0.045	79.0	53.075884103775024
28	1000.0	0.0	1000.0	1000.0	1000.0	99.99922	0.0019608578	100.000694	99.97421	58000	2.9033982e-09	4.460066e-06	-0.007624826	-5.27481e-07	0.6806275	0.0058226017	0.1135	79.0	55.12234878540039
29	1000.0	0.0	1000.0	1000.0	1000.0	99.99996	0.0034797995	100.00128	99.886665	60000	8.782372e-09	1.2277221e-05	-0.0031260878	-3.3978722e-09	0.6647923	0.0011028886	0.0205	79.0	57.160268783569336
30	1000.0	0.0	1000.0	1000.0	1000.0	100.00029	0.0014277824	100.001274	99.98341	62000	-1.090765e-08	2.2897414e-06	-0.0024331773	-1.1914767e-07	0.63785183	0.0013901417	0.0215	79.0	59.270267724990845
31	1000.0	0.0	1000.0	1000.0	1000.0	99.99989	0.0017943743	100.00106	99.96659	64000	1.1716038e-09	3.2332218e-06	-0.0057566003	-7.9580786e-11	0.6212297	0.0046675806	0.0235	79.0	61.31288552284241
32	1000.0	0.0	1000.0	1000.0	1000.0	100.000084	0.0036463449	100.00105	99.84576	66000	1.0877848e-08	1.3580628e-05	-0.0028392228	-5.214042e-08	0.59408224	0.01516782	0.1795	9.0	62.9578595161438
33	1000.0	0.0	1000.0	1000.0	1000.0	99.99992	0.0020030935	100.00094	99.94668	68000	4.515052e-09	4.6532214e-06	-0.005928604	-7.048584e-11	0.5919706	0.006022612	0.0615	79.0	65.06385159492493
34	1000.0	0.0	1000.0	1000.0	1000.0	99.99999	0.0018029934	100.00094	99.963585	70000	1.1790544e-08	3.2469072e-06	-0.0027351754	-1.10503606e-10	0.58022046	0.0012742725	0.025	79.0	67.15497946739197
35	1000.0	0.0	1000.0	1000.0	1000.0	100.000046	0.0017382399	100.00094	99.965195	72000	-1.3682992e-08	3.023808e-06	-0.004621893	-3.7448444e-10	0.5654737	0.0032517419	0.029	79.0	69.19022274017334
36	1000.0	0.0	1000.0	1000.0	1000.0	100.00003	0.0014749651	100.00095	99.97299	74000	-6.9141386e-09	2.1779808e-06	-0.007962166	-6.5938366e-12	0.55085653	0.0049627437	0.041	79.0	71.34182691574097
37	1000.0	0.0	1000.0	1000.0	1000.0	100.00014	0.0011685066	100.00094	99.97621	76000	8.523465e-09	1.382623e-06	-0.0017875659	0.0	0.5061089	0.0021689353	0.0195	79.0	73.50093865394592
38	1000.0	0.0	1000.0	1000.0	1000.0	100.00018	0.0012615323	100.000946	99.97756	78000	4.5225024e-09	1.6179627e-06	-0.0014234495	-3.2628122e-11	0.503899	0.002337705	0.0055	79.0	75.57871007919312
39	1000.0	0.0	1000.0	1000.0	1000.0	100.00012	0.0014009938	100.00095	99.96366	80000	-2.0116568e-09	1.9801334e-06	-0.00030479833	-2.478373e-11	0.49095538	0.020809777	0.284	3.0	77.18887329101562
40	1000.0	0.0	1000.0	1000.0	1000.0	100.00014	0.0016375915	100.00092	99.94071	82000	6.4913186e-10	2.7020444e-06	-0.00020706787	-3.2287062e-11	0.4903162	0.018770779	0.237	8.0	78.88038277626038
41	1000.0	0.0	1000.0	1000.0	1000.0	100.00022	0.001042838	100.000946	99.98442	84000	1.4066696e-08	1.3711342e-06	-0.001207564	-9.873247e-08	0.4881994	0.016411917	0.191	2.0	80.48642301559448
42	1000.0	0.0	1000.0	1000.0	1000.0	99.999825	0.0011996907	100.00069	99.98374	86000	6.0200693e-09	1.4724733e-06	-0.0039270176	-2.5222676e-08	0.48766676	0.0065252776	0.064	79.0	82.57451462745667
43	1000.0	0.0	1000.0	1000.0	1000.0	99.999916	0.001286592	100.00078	99.98711	88000	-4.7683715e-09	1.6899949e-06	-0.0067545664	-8.2184215e-10	0.47511697	0.0010697865	0.0315	79.0	84.70691013336182
44	1000.0	0.0	1000.0	1000.0	1000.0	99.99997	0.0010975768	100.000786	99.986465	90000	-1.1503697e-08	1.2222761e-06	-0.0010771338	-3.8539838e-11	0.4416157	0.018418971	0.2505	3.0	86.36103892326355
45	1000.0	0.0	1000.0	1000.0	1000.0	100.00013	0.0008709937	100.000786	99.99022	92000	1.1853873e-08	7.771264e-07	-0.0009955458	0.0	0.44080964	0.016834658	0.2375	2.0	87.96018934249878
46	1000.0	0.0	1000.0	1000.0	1000.0	100.000145	0.0008382615	100.000786	99.99083	94000	-1.3113022e-08	2.553511e-06	0.003844349	-2.8180943e-07	0.44028252	0.018533591	0.221	2.0	89.572092294693
47	1000.0	0.0	1000.0	1000.0	1000.0	99.99954	0.0008054303	100.00028	99.98734	96000	1.0669232e-08	8.6352975e-07	-0.005248298	-1.4835399e-07	0.43980026	0.0032957227	0.039	79.0	91.63917708396912
48	1000.0	0.0	1000.0	1000.0	1000.0	99.99997	0.0008095226	100.00064	99.98624	98000	9.864569e-09	6.577851e-07	-0.004829568	0.0	0.40110618	0.005082017	0.0455	79.0	93.719402551651
49	1000.0	0.0	1000.0	1000.0	1000.0	99.999985	0.0006935359	100.00061	99.98855	100000	-3.9190056e-09	4.8241714e-07	-0.0056268144	0.0	0.36725858	0.00063685334	0.025	79.0	95.78709268569946
50	1000.0	0.0	1000.0	1000.0	1000.0	100.00004	0.00064467645	100.00061	99.989204	102000	-4.0084123e-09	4.20936e-07	-0.0030637297	-1.9042545e-12	0.34091455	0.0050830417	0.028	79.0	97.95209789276123
51	1000.0	0.0	1000.0	1000.0	1000.0	100.00001	0.00082425686	100.000626	99.97534	104000	-2.0891427e-08	6.829478e-07	-0.0052455836	0.0	0.33581725	0.0037853776	0.0245	79.0	100.09098696708679
52	1000.0	0.0	1000.0	1000.0	1000.0	100.000046	0.0006294786	100.000626	99.988464	106000	2.9634684e-09	4.084994e-07	-0.004123917	0.0	0.32646212	0.0017098697	0.0145	79.0	102.18416714668274
53	1000.0	0.0	1000.0	1000.0	1000.0	100.0	0.0006587552	100.000626	99.98927	108000	-7.152557e-09	4.3243153e-07	-0.002455028	0.0	0.30209947	0.016082635	0.2245	2.0	103.83481979370117
54	1000.0	0.0	1000.0	1000.0	1000.0	100.00012	0.0005555905	100.00063	99.99395	110000	-2.0861626e-09	3.2593442e-07	-0.0038702546	-7.784109e-09	0.3017446	0.00199406	0.027	79.0	105.99813580513
55	1000.0	0.0	1000.0	1000.0	1000.0	100.000084	0.0005133763	100.000565	99.99411	112000	-1.20997425e-08	2.6986723e-07	-0.0027115229	-1.8127366e-10	0.28305945	0.0010254532	0.0175	79.0	108.26877045631409
56	1000.0	0.0	1000.0	1000.0	1000.0	100.00008	0.0006014078	100.000595	99.988266	114000	7.7486035e-09	4.093109e-07	-0.005277039	-1.2482673e-08	0.26938075	0.003027687	0.028	79.0	110.4139609336853
57	1000.0	0.0	1000.0	1000.0	1000.0	100.000015	0.00046940075	100.00049	99.99416	116000	-3.3527612e-09	2.2368526e-07	-0.004834859	0.0	0.2328806	0.0044866647	0.0325	79.0	112.68975472450256
58	1000.0	0.0	1000.0	1000.0	1000.0	100.00006	0.00044324048	100.000496	99.99647	118000	-2.592802e-09	1.9956074e-07	-0.002707234	0.0	0.1982173	0.0030017542	0.0305	79.0	114.97799015045166
59	1000.0	0.0	1000.0	1000.0	1000.0	100.00006	0.00040778916	100.00049	99.99489	120000	-8.791685e-10	1.6977519e-07	-0.0039175665	0.0	0.18283083	0.0029918358	0.0225	79.0	117.22570061683655
60	1000.0	0.0	1000.0	1000.0	1000.0	100.00006	0.00041196554	100.000496	99.99632	122000	-1.0654331e-09	1.732824e-07	-0.0051399143	0.0	0.16292304	0.0047957217	0.0325	79.0	119.57419228553772
61	1000.0	0.0	1000.0	1000.0	1000.0	100.00007	0.0004820733	100.000496	99.99323	124000	1.859665e-08	2.3646938e-07	-0.002675643	-9.097505e-10	0.15639442	0.0030908706	0.0195	79.0	121.74609446525574
62	1000.0	0.0	1000.0	1000.0	1000.0	100.00006	0.0004026554	100.00047	99.99657	126000	8.940697e-09	1.6689e-07	-0.00448361	-6.187406e-10	0.14949518	-0.0006224407	0.021	79.0	123.85286450386047
63	1000.0	0.0	1000.0	1000.0	1000.0	100.00006	0.00040385427	100.00049	99.99655	128000	7.703901e-09	1.7499197e-07	-0.0035373487	-6.169145e-09	0.12037011	0.00421741	0.0265	79.0	126.11803483963013
64	1000.0	0.0	1000.0	1000.0	1000.0	100.000015	0.00037285892	100.00041	99.99654	130000	8.970499e-09	1.4031967e-07	-0.0030639446	0.0	0.09561773	0.00089348096	0.015	79.0	128.220477104187
65	1000.0	0.0	1000.0	1000.0	1000.0	100.00002	0.00035037237	100.00043	99.9978	132000	-6.951392e-09	1.2666779e-07	-0.0027091878	0.0	0.08036331	0.00081530685	0.015	79.0	130.29041194915771
66	1000.0	0.0	1000.0	1000.0	1000.0	100.00003	0.0003593376	100.00042	99.99684	134000	-1.3276934e-08	1.353162e-07	0.0020922692	0.0	0.056155182	0.015802052	0.2285	2.0	131.87779355049133
67	1000.0	0.0	1000.0	1000.0	1000.0	99.99992	0.00037364685	100.00038	99.996704	136000	4.351139e-09	1.4901016e-07	0.0010121322	-9.77505e-09	0.055676244	0.01970474	0.214	4.0	133.52378630638123
68	1000.0	0.0	1000.0	1000.0	1000.0	100.00013	0.00038536402	100.0005	99.99454	138000	7.69645e-09	1.6291474e-07	-0.00299413	-1.075783e-08	0.054508787	0.0025896041	0.012	79.0	135.6238181591034
69	1000.0	0.0	1000.0	1000.0	1000.0	100.00002	0.00035871033	100.00041	99.997055	140000	3.054738e-09	1.3050116e-07	-0.0038213518	0.0	0.035157196	0.0044356454	0.0385	79.0	137.69710397720337
