Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	AverageQVals	StdQVals	MaxQVals	MinQVals	LossPi	LossQ	Time
1	5.614232	3.2804415	22.0	3.0	3.0	0.0	3.0	3.0	5.614232	3.0	1499	1.5823147	0.56252635	3.0524113	-0.5122315	-1.5826981	0.08236346	2.4732372760772705
2	6.040323	3.5851376	27.0	3.0	42.0	1.5491934	45.0	40.0	6.040323	42.0	2999	4.996508	2.7466998	12.367568	-0.71453047	-5.950947	0.3911822	9.43692922592163
3	6.3109245	3.7590182	21.0	2.0	48.2	2.2715635	54.0	46.0	6.3109245	48.2	4499	10.848772	5.549518	20.92465	-1.9791082	-13.109133	1.1023226	16.20772099494934
4	5.840467	3.3501606	20.0	3.0	64.3	13.084723	85.0	41.0	5.840467	64.3	5999	16.652882	8.760685	28.513683	-4.8373384	-20.396133	1.9778962	23.042556285858154
5	5.659091	3.2188592	25.0	2.0	65.5	20.771376	123.0	48.0	5.659091	65.5	7499	22.711084	12.0192995	37.192013	-6.2031274	-27.722073	3.0916622	29.942913055419922
6	5.8217053	3.1002617	23.0	3.0	37.0	1.0954452	38.0	35.0	5.8217053	37.0	8999	27.959415	15.032052	48.523308	-8.846127	-34.339226	4.146082	37.36579179763794
7	8.05946	13.538801	140.0	3.0	57.6	5.517246	67.0	51.0	8.05946	57.6	10499	33.06051	17.825117	62.27386	-9.977357	-40.598377	5.444155	44.45277500152588
8	68.545456	11.915335	89.0	52.0	56.3	1.3453624	58.0	54.0	68.545456	56.3	11999	37.419907	19.641638	83.478775	-13.161972	-45.085426	6.3109193	51.68558382987976
9	65.434784	9.96876	87.0	51.0	50.6	0.9165151	51.0	48.0	65.434784	50.6	13499	40.249866	21.060211	90.010796	-23.205936	-47.38469	6.7626133	59.026971101760864
10	50.448277	7.4998217	70.0	40.0	43.3	0.9	45.0	42.0	50.448277	43.3	14999	44.69878	23.19206	97.12886	-27.504227	-51.951088	8.696637	66.58769273757935
