Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	AverageQVals	StdQVals	MaxQVals	MinQVals	LossPi	LossQ	Time
1	5.5147057	3.0085301	20.0	3.0	2.1	0.3	3.0	2.0	5.5147057	2.1	1499	1.6302274	0.57048947	3.2371082	-0.25792414	-1.6463295	0.08056022	2.991818428039551
2	5.9681277	3.5837975	24.0	3.0	23.8	1.8867962	26.0	22.0	5.9681277	23.8	2999	5.0895395	2.812007	12.011436	-0.7426928	-6.091748	0.3706121	11.825729608535767
3	5.4545455	2.7210839	15.0	3.0	33.5	2.8722813	37.0	29.0	5.4545455	33.5	4499	11.197936	5.7963233	20.489784	-0.91047907	-13.726847	0.91775227	20.46475052833557
4	5.3691754	2.733684	20.0	2.0	24.8	3.1241	28.0	21.0	5.3691754	24.8	5999	17.049623	9.231332	29.179548	-1.0458205	-21.1445	1.5862087	29.132503509521484
5	5.882353	3.560387	29.0	3.0	39.9	3.2695565	45.0	36.0	5.882353	39.9	7499	23.279327	12.915308	39.163628	-1.9945537	-29.00899	2.7906058	37.992095947265625
6	5.562963	2.8182144	14.0	3.0	41.6	2.416609	47.0	38.0	5.562963	41.6	8999	29.788443	16.591553	49.54508	-2.3007846	-37.136578	4.2171984	46.65584969520569
7	7.415	7.1639915	42.0	3.0	46.3	7.4303436	58.0	34.0	7.415	46.3	10499	36.388824	20.279743	60.2794	-2.4031656	-45.27982	6.607685	55.257800340652466
8	52.03448	9.915097	64.0	20.0	49.0	1.5491934	53.0	48.0	52.03448	49.0	11999	43.129005	23.017525	67.09787	-6.4527025	-52.555984	9.783111	64.07896518707275
9	76.63158	30.735222	154.0	45.0	53.5	11.092791	67.0	34.0	76.63158	53.5	13499	48.67116	25.130383	78.815	-6.5509963	-58.07168	9.106929	72.9880964756012
10	50.032257	29.634857	193.0	29.0	35.9	0.5385165	37.0	35.0	50.032257	35.9	14999	54.05279	27.357328	88.37731	-3.7150466	-63.385677	11.301454	81.74518585205078
