Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time
0	9.36875	3.8626769	27.0	4.0	9.36875	0.0784399	0.0064096088	0.12575057	0.05040513	1500	-4.029274e-08	46.35584	-0.013591038	-33.068573	0.91893816	0.016806113	0.20266667	9.0	1.4031219482421875
1	12.605042	6.744084	36.0	4.0	12.605042	5.8510275	0.2266374	6.0671062	4.45992	3000	-4.371007e-09	37.608086	-0.02171026	-8.403276	0.9163894	0.015955124	0.14333333	8.0	2.718430995941162
2	15.547368	8.902712	50.0	4.0	15.547368	8.358818	1.4554857	9.384193	-0.69428664	4500	1.390775e-09	55.488625	-0.014461397	-5.9623184	0.91409963	0.015441008	0.16866666	9.0	4.072620153427124
3	18.45679	11.120051	65.0	4.0	18.45679	10.220474	1.5707489	11.647535	2.376509	6000	6.015102e-09	76.78339	-0.023248103	-7.020996	0.9112211	0.018141195	0.14733334	8.0	5.406318664550781
4	21.865671	14.10927	66.0	5.0	21.865671	11.847158	2.5452151	14.541914	-0.33052745	7500	4.6094257e-09	112.45056	-0.01935426	-20.061737	0.90878093	0.016258394	0.166	10.0	6.733604192733765
5	28.48	15.673213	67.0	8.0	28.48	14.123186	3.6123567	17.586058	0.51720655	9000	2.0752351e-08	121.584595	-0.016479274	-25.251572	0.90629125	0.015071506	0.17466667	16.0	8.081729650497437
6	44.727272	25.14717	110.0	10.0	44.727272	17.251492	6.059099	23.234388	-0.41856897	10500	-4.6094257e-09	241.31691	-0.017621463	-65.317245	0.9014008	0.0065146307	0.09866667	79.0	10.025856733322144
7	50.607143	20.47706	99.0	20.0	50.607143	22.773024	7.1520195	30.29081	-1.928369	12000	5.5631e-09	165.66777	-0.01915578	-42.363136	0.88499814	0.013132826	0.12866667	79.0	11.6691255569458
8	76.8421	30.15445	137.0	26.0	76.8421	27.046713	8.774399	36.76693	3.5389044	13500	-8.424123e-09	301.07568	-0.01256261	-118.710205	0.867435	0.0042415014	0.064	79.0	13.299541473388672
9	108.84615	48.382843	223.0	41.0	108.84615	35.014145	10.1230545	43.359745	-0.7283629	15000	-2.135833e-08	345.37006	-0.008279861	-183.46486	0.84920955	0.0038133091	0.05666667	79.0	15.00304102897644
