Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	AverageQVals	StdQVals	MaxQVals	MinQVals	LossPi	LossQ	Time
1	5.4835167	2.8664894	17.0	2.0	52.3	4.9608464	65.0	47.0	5.4835167	52.3	1999	2.2712483	1.0703479	5.650356	-0.26975843	-2.4420962	0.10282731	5.979696750640869
2	5.548476	2.9480271	21.0	3.0	26.3	2.1470912	29.0	22.0	5.548476	26.3	3999	7.867392	4.6881814	18.868626	-0.6869253	-9.703778	0.56006724	17.41023325920105
3	5.946429	3.6158695	24.0	3.0	25.1	2.4269323	28.0	20.0	5.946429	25.1	5999	16.458857	9.331341	31.278471	-1.5634317	-20.494923	1.6075288	29.185706615447998
4	5.827988	3.4845982	23.0	3.0	28.9	1.7578397	32.0	26.0	5.827988	28.9	7999	25.156466	14.182371	41.985485	-2.3678794	-31.286774	3.3554668	40.629119873046875
5	5.6106443	3.2843227	26.0	3.0	28.1	2.2561028	31.0	24.0	5.6106443	28.1	9999	32.827213	18.578085	52.998215	-2.5560164	-40.756363	5.253701	51.93227982521057
6	36.555557	5.476098	50.0	25.0	46.2	0.59999996	47.0	45.0	36.555557	46.2	11999	40.177406	22.823715	66.79936	-9.093051	-49.205883	7.398679	63.549312353134155
7	45.930233	11.696542	65.0	28.0	56.3	2.2383032	59.0	51.0	45.930233	56.3	13999	44.2843	25.927666	87.83591	-7.2499647	-53.159134	9.270808	75.31655883789062
8	37.21818	11.993469	79.0	15.0	33.5	0.67082036	34.0	32.0	37.21818	33.5	15999	48.940125	29.12881	106.539406	-27.14551	-58.120735	12.045905	86.7434401512146
9	31.935484	1.4905181	38.0	29.0	32.9	0.70000005	34.0	32.0	31.935484	32.9	17999	59.328773	35.79147	112.678856	-20.045378	-69.87214	14.892416	98.3563404083252
10	37.407406	6.4765058	48.0	29.0	44.5	1.024695	46.0	43.0	37.407406	44.5	19999	67.21128	42.79558	123.73221	-7.463974	-78.27401	18.077856	109.82798099517822
11	298.25	405.1755	1000.0	58.0	1000.0	0.0	1000.0	1000.0	298.25	1000.0	21999	67.50779	47.150406	128.49059	-8.950475	-78.87605	19.44866	124.79980611801147
12	1000.0	0.0	1000.0	1000.0	1000.0	0.0	1000.0	1000.0	1000.0	1000.0	23999	71.935555	47.66256	142.3536	-8.71515	-83.60247	24.47944	140.20727396011353
13	1000.0	0.0	1000.0	1000.0	1000.0	0.0	1000.0	1000.0	1000.0	1000.0	25999	84.3751	47.935287	147.7737	-8.247821	-96.32448	29.693768	156.38955330848694
14	798.3333	183.0161	1000.0	557.0	1000.0	0.0	1000.0	1000.0	798.3333	1000.0	27999	97.06823	49.456226	156.36353	-14.910756	-109.05016	34.4889	172.0992033481598
15	568.75	290.58334	1000.0	184.0	1000.0	0.0	1000.0	1000.0	568.75	1000.0	29999	105.86887	50.229237	162.14699	-17.454794	-117.08124	35.465954	187.4959466457367
16	386.8	291.56845	956.0	156.0	1000.0	0.0	1000.0	1000.0	386.8	1000.0	31999	109.47601	50.46712	164.86066	-24.858486	-120.27689	33.82275	202.9253807067871
17	295.7143	126.40153	445.0	139.0	1000.0	0.0	1000.0	1000.0	295.7143	1000.0	33999	113.40861	49.522007	170.89505	-27.519827	-123.71679	36.956078	218.2418873310089
18	673.6667	332.67838	1000.0	217.0	1000.0	0.0	1000.0	1000.0	673.6667	1000.0	35999	115.76681	48.372707	167.78157	-25.477474	-125.35054	30.678532	233.83387517929077
19	963.5	36.5	1000.0	927.0	1000.0	0.0	1000.0	1000.0	963.5	1000.0	37999	117.29226	46.72007	171.8677	-32.07616	-126.40862	32.794895	249.4889578819275
20	617.6667	347.55368	1000.0	159.0	93.0	32.273827	186.0	73.0	617.6667	93.0	39999	119.8895	45.679546	172.71956	-36.39984	-128.26909	30.468782	261.4508783817291
21	1000.0	0.0	1000.0	1000.0	459.0	258.1395	1000.0	104.0	1000.0	459.0	41999	122.13397	43.987007	170.5994	-31.700798	-130.13254	27.61678	274.87428855895996
