Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	AverageQVals	StdQVals	MaxQVals	MinQVals	LossPi	LossQ	Time
1	5.357527	2.9271848	23.0	3.0	39.5	3.905125	50.0	35.0	5.357527	39.5	1999	2.6900294	1.3767314	6.202062	-0.19378722	-3.1207705	0.21683182	4.612738132476807
2	5.5905294	3.1102345	25.0	3.0	21.1	0.70000005	22.0	20.0	5.5905294	21.1	3999	8.376751	4.730414	16.196293	-0.09366256	-10.270923	0.6700593	13.57136583328247
3	5.4835167	3.0449476	20.0	3.0	19.0	0.6324555	20.0	18.0	5.4835167	19.0	5999	15.086258	8.384568	25.03663	-0.65665245	-18.638086	1.3605579	22.63970160484314
4	5.517906	2.922617	21.0	2.0	17.1	0.29999998	18.0	17.0	5.517906	17.1	7999	21.451706	12.082994	34.05653	-1.312301	-26.588894	2.2789018	31.442179679870605
5	5.8110466	3.4618845	25.0	3.0	16.1	0.53851646	17.0	15.0	5.8110466	16.1	9999	28.205965	16.029865	44.23813	-1.5264415	-35.13653	3.5446796	40.28659176826477
6	23.914635	9.461348	49.0	3.0	42.7	6.2136946	51.0	30.0	23.914635	42.7	11999	35.195366	18.978065	53.193935	-8.936866	-42.98481	9.048847	49.62613892555237
7	53.0	17.528923	78.0	27.0	37.0	7.98749	45.0	28.0	53.0	37.0	13999	41.69962	20.572529	59.245617	-15.55089	-49.44298	11.902093	58.95275354385376
8	41.666668	20.932762	139.0	18.0	52.1	1.0440307	54.0	50.0	41.666668	52.1	15999	47.586395	21.817688	64.306946	-15.991042	-55.192703	18.478664	68.27699327468872
9	49.975	3.5811138	60.0	45.0	45.4	1.0198039	47.0	43.0	49.975	45.4	17999	52.02252	23.67296	71.92739	-19.621677	-59.647438	19.58312	77.40678524971008
10	45.772728	2.548294	56.0	43.0	55.9	2.2113342	59.0	53.0	45.772728	55.9	19999	55.166527	26.158508	78.68039	-24.344109	-62.69497	19.849066	86.81596851348877
11	72.703705	20.424776	130.0	51.0	144.9	3.2695565	151.0	141.0	72.703705	144.9	21999	56.25118	27.391523	83.28673	-25.783968	-63.42488	16.644547	96.490305185318
12	431.33334	402.2481	1000.0	134.0	1000.0	0.0	1000.0	1000.0	431.33334	1000.0	23999	58.297676	28.403069	88.10277	-16.558113	-65.34474	13.741445	108.73436760902405
13	1000.0	0.0	1000.0	1000.0	401.8	214.3431	846.0	136.0	1000.0	401.8	25999	62.812325	29.292618	92.91227	-16.467659	-69.759705	13.301289	119.17782521247864
