Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	AverageQVals	StdQVals	MaxQVals	MinQVals	LossPi	LossQ	Time
1	5.547222	3.1292515	24.0	2.0	35.4	1.56205	37.0	33.0	5.547222	35.4	1999	2.737671	1.3984905	6.381107	-0.18896101	-3.168905	0.23584592	4.677951335906982
2	5.5543175	2.9662402	22.0	3.0	24.4	0.66332495	25.0	23.0	5.5543175	24.4	3999	8.572131	4.7504444	16.52729	-0.18059582	-10.439733	0.71365786	13.821609020233154
3	5.5469613	3.1882474	19.0	2.0	32.0	3.224903	36.0	27.0	5.5469613	32.0	5999	15.358632	8.48365	25.531214	-0.203981	-18.91607	1.4985836	23.384103775024414
4	5.7797103	3.5070353	28.0	2.0	28.1	2.118962	31.0	24.0	5.7797103	28.1	7999	21.812485	12.080275	34.331608	-0.44626328	-26.912834	2.4706545	32.608238697052
5	5.644068	3.1196265	18.0	3.0	30.0	0.0	30.0	30.0	5.644068	30.0	9999	28.03207	15.700975	42.795048	-0.7689945	-34.68126	3.4597263	41.80585479736328
6	34.77193	2.01762	37.0	26.0	36.5	0.5	37.0	36.0	34.77193	36.5	11999	34.98225	18.5785	51.43191	-9.318292	-42.49576	6.711365	51.275205850601196
7	36.035713	0.49872288	37.0	35.0	36.0	0.4472136	37.0	35.0	36.035713	36.0	13999	40.27454	20.643805	58.887627	-10.966552	-47.615513	6.015289	60.78817629814148
8	34.77193	2.2634978	38.0	29.0	36.6	0.66332495	38.0	36.0	34.77193	36.6	15999	42.134403	23.178614	65.15886	-8.812427	-49.127277	5.3554406	70.29820203781128
9	38.73077	2.8018906	50.0	35.0	53.7	1.9519222	56.0	51.0	38.73077	53.7	17999	41.515633	25.078321	69.95968	-7.843282	-48.067753	5.1055555	79.86878037452698
10	66.433334	27.937647	147.0	24.0	36.9	11.527793	60.0	27.0	66.433334	36.9	19999	41.278423	26.338627	75.64082	-10.195375	-47.753967	6.6655693	89.41695189476013
11	58.85294	36.239506	176.0	27.0	1000.0	0.0	1000.0	1000.0	58.85294	1000.0	21999	45.957806	28.497372	78.83395	-14.648478	-52.619587	13.503908	102.18945097923279
12	332.0	313.21558	1000.0	86.0	1000.0	0.0	1000.0	1000.0	332.0	1000.0	23999	51.18891	28.37195	80.73247	-15.111889	-57.66851	13.983304	114.832200050354
13	91.63636	118.269554	578.0	37.0	58.6	11.918054	94.0	52.0	91.63636	58.6	25999	56.734264	27.810207	87.13659	-13.459349	-63.193665	12.770232	124.38693976402283
14	94.23529	58.411854	298.0	54.0	1000.0	0.0	1000.0	1000.0	94.23529	1000.0	27999	62.27484	27.561747	88.205826	-12.5957155	-68.682106	18.63254	136.9019329547882
15	1000.0	0.0	1000.0	1000.0	1000.0	0.0	1000.0	1000.0	1000.0	1000.0	29999	66.33801	27.18285	91.56032	-9.972091	-72.51229	14.916963	149.5846722126007
16	1000.0	0.0	1000.0	1000.0	1000.0	0.0	1000.0	1000.0	1000.0	1000.0	31999	70.59219	27.217627	93.563255	-10.549369	-76.60723	13.9219885	162.20826506614685
17	1000.0	0.0	1000.0	1000.0	1000.0	0.0	1000.0	1000.0	1000.0	1000.0	33999	74.79328	26.787819	96.347725	-10.33201	-80.620865	13.253839	174.9065499305725
18	1000.0	0.0	1000.0	1000.0	1000.0	0.0	1000.0	1000.0	1000.0	1000.0	35999	78.54267	26.381262	97.883125	-8.45975	-84.207825	13.403487	187.5065052509308
19	1000.0	0.0	1000.0	1000.0	251.4	116.670654	554.0	113.0	1000.0	251.4	37999	82.04196	25.90467	100.66575	-8.270189	-87.52528	13.648025	197.60196471214294
20	295.0	288.11282	1000.0	98.0	98.0	6.5878677	109.0	91.0	295.0	98.0	39999	85.27714	25.793879	102.78331	-9.694225	-90.62725	14.618594	207.0822036266327
21	118.17647	27.549389	172.0	78.0	119.8	16.01749	150.0	86.0	118.17647	119.8	41999	87.89202	25.656391	104.103264	-10.482683	-93.10737	15.430174	216.56870794296265
22	120.64286	14.46477	157.0	101.0	1000.0	0.0	1000.0	1000.0	120.64286	1000.0	43999	89.77233	25.676289	105.848045	-15.548683	-94.75452	15.933072	228.9176743030548
23	727.6667	323.5906	1000.0	273.0	1000.0	0.0	1000.0	1000.0	727.6667	1000.0	45999	91.27829	25.733322	107.08441	-15.993486	-96.07273	15.645808	241.37182760238647
24	205.7	264.32483	991.0	49.0	424.5	289.1969	1000.0	90.0	205.7	424.5	47999	92.46325	25.597893	113.29235	-14.774325	-97.086624	15.76841	251.82983493804932
25	47.909092	26.93411	176.0	30.0	77.3	3.9255571	83.0	73.0	47.909092	77.3	49999	96.39447	26.841415	123.60434	-18.237988	-101.77569	20.235598	261.3269393444061
26	93.28571	28.557617	151.0	70.0	110.7	16.745447	145.0	88.0	93.28571	110.7	51999	102.27515	28.91184	128.5262	-14.010363	-107.824265	20.321333	270.70765686035156
27	138.07143	58.99693	283.0	71.0	138.6	2.6907248	144.0	135.0	138.07143	138.6	53999	108.18481	32.340122	137.14946	-13.878874	-113.950424	20.539358	280.14053201675415
28	182.90909	39.12557	257.0	135.0	114.6	30.351936	139.0	68.0	182.90909	114.6	55999	113.94713	35.752792	144.13974	-20.745628	-119.7937	19.242586	289.53514313697815
29	182.63637	37.90724	251.0	128.0	135.9	2.8089144	142.0	131.0	182.63637	135.9	57999	115.98931	38.301807	152.15454	-32.431103	-121.5016	15.7982855	299.07826471328735
30	109.8421	48.440155	218.0	35.0	40.0	0.8944272	42.0	39.0	109.8421	40.0	59999	115.85767	40.861282	156.6498	-24.086939	-121.28634	16.87526	308.2154951095581
31	40.958332	3.0135689	49.0	33.0	39.0	0.4472136	40.0	38.0	40.958332	39.0	61999	122.21893	44.113617	157.69417	-17.601776	-128.48747	20.134851	317.41807746887207
32	37.48148	1.8231103	42.0	35.0	37.7	1.9	39.0	34.0	37.48148	37.7	63999	122.7157	46.18092	159.31607	-15.692356	-128.44728	21.147064	326.6282000541687
33	36.50909	3.7361758	42.0	30.0	42.5	0.5	43.0	42.0	36.50909	42.5	65999	124.92414	48.48862	166.05164	-15.945996	-131.0296	19.461903	335.9732644557953
34	41.104168	2.6944356	49.0	37.0	45.7	0.64031243	47.0	45.0	41.104168	45.7	67999	125.88369	51.35179	177.45819	-17.149862	-132.3467	18.680473	345.2237648963928
35	114.066666	236.85423	1000.0	46.0	1000.0	0.0	1000.0	1000.0	114.066666	1000.0	69999	128.21278	53.79317	183.18718	-18.192554	-134.55275	20.647484	357.5834872722626
36	808.5	191.5	1000.0	617.0	1000.0	0.0	1000.0	1000.0	808.5	1000.0	71999	128.36592	54.383255	185.27206	-11.797593	-134.5275	19.133715	369.7759337425232
37	692.0	435.5778	1000.0	76.0	1000.0	0.0	1000.0	1000.0	692.0	1000.0	73999	130.89532	53.80835	185.60287	-15.74374	-137.02182	18.546055	382.06863164901733
38	1000.0	0.0	1000.0	1000.0	1000.0	0.0	1000.0	1000.0	1000.0	1000.0	75999	131.97124	54.098522	185.10338	-17.12451	-137.88112	17.799273	394.5106647014618
39	1000.0	0.0	1000.0	1000.0	1000.0	0.0	1000.0	1000.0	1000.0	1000.0	77999	133.73894	54.12272	184.91216	-15.229613	-139.91556	16.525192	406.85548877716064
40	1000.0	0.0	1000.0	1000.0	1000.0	0.0	1000.0	1000.0	1000.0	1000.0	79999	135.72964	54.146908	186.3148	-18.4166	-141.55424	16.087671	419.04228377342224
41	1000.0	0.0	1000.0	1000.0	1000.0	0.0	1000.0	1000.0	1000.0	1000.0	81999	136.9176	53.46391	186.26999	-15.291222	-142.38213	14.920897	431.3211817741394
42	1000.0	0.0	1000.0	1000.0	1000.0	0.0	1000.0	1000.0	1000.0	1000.0	83999	136.81943	53.113583	185.53171	-18.19807	-142.12837	15.193695	443.4712915420532
43	1000.0	0.0	1000.0	1000.0	1000.0	0.0	1000.0	1000.0	1000.0	1000.0	85999	136.38095	52.678524	184.30467	-21.788506	-141.64284	13.954057	455.6596636772156
44	1000.0	0.0	1000.0	1000.0	1000.0	0.0	1000.0	1000.0	1000.0	1000.0	87999	136.06104	51.99039	182.30595	-15.235643	-141.12328	13.9527	467.78007674217224
45	1000.0	0.0	1000.0	1000.0	1000.0	0.0	1000.0	1000.0	1000.0	1000.0	89999	135.53339	51.032085	180.1846	-12.34487	-140.40096	12.750926	480.1011562347412
46	1000.0	0.0	1000.0	1000.0	1000.0	0.0	1000.0	1000.0	1000.0	1000.0	91999	134.96736	50.258396	178.84245	-25.207932	-139.62712	13.176474	492.16649556159973
47	1000.0	0.0	1000.0	1000.0	1000.0	0.0	1000.0	1000.0	1000.0	1000.0	93999	134.5474	48.987076	176.54143	-25.234539	-139.06262	11.357278	504.5177261829376
48	1000.0	0.0	1000.0	1000.0	1000.0	0.0	1000.0	1000.0	1000.0	1000.0	95999	133.39568	48.285873	174.35406	-22.84012	-137.89116	11.168397	516.7512602806091
49	1000.0	0.0	1000.0	1000.0	1000.0	0.0	1000.0	1000.0	1000.0	1000.0	97999	133.21667	46.513435	170.814	-24.964314	-137.40242	10.261244	529.1236479282379
50	1000.0	0.0	1000.0	1000.0	1000.0	0.0	1000.0	1000.0	1000.0	1000.0	99999	131.7957	45.95927	169.21602	-10.770201	-135.8155	10.080242	541.6457364559174
51	1000.0	0.0	1000.0	1000.0	1000.0	0.0	1000.0	1000.0	1000.0	1000.0	101999	130.16255	45.417377	166.63719	-23.97879	-134.06882	8.790615	554.0652232170105
52	1000.0	0.0	1000.0	1000.0	1000.0	0.0	1000.0	1000.0	1000.0	1000.0	103999	129.25917	44.366257	164.74954	-27.015348	-133.01088	9.11541	566.6915466785431
53	1000.0	0.0	1000.0	1000.0	1000.0	0.0	1000.0	1000.0	1000.0	1000.0	105999	128.19287	42.789967	161.97745	-24.329266	-131.75278	9.4236555	579.3401498794556
54	1000.0	0.0	1000.0	1000.0	1000.0	0.0	1000.0	1000.0	1000.0	1000.0	107999	126.25034	42.07219	159.68747	-22.103985	-129.67093	8.0748005	592.1422030925751
55	1000.0	0.0	1000.0	1000.0	1000.0	0.0	1000.0	1000.0	1000.0	1000.0	109999	124.19094	41.301918	154.53336	-24.485321	-127.54992	8.037828	605.0108640193939
56	1000.0	0.0	1000.0	1000.0	1000.0	0.0	1000.0	1000.0	1000.0	1000.0	111999	122.51172	40.425026	152.01006	-11.329725	-125.8115	7.56138	617.9421293735504
57	1000.0	0.0	1000.0	1000.0	1000.0	0.0	1000.0	1000.0	1000.0	1000.0	113999	121.1417	39.40078	147.97574	-24.158749	-124.26331	7.230419	630.9063856601715
58	1000.0	0.0	1000.0	1000.0	1000.0	0.0	1000.0	1000.0	1000.0	1000.0	115999	120.15198	38.331947	144.91167	-21.960924	-123.16399	7.1354833	644.0278918743134
59	1000.0	0.0	1000.0	1000.0	1000.0	0.0	1000.0	1000.0	1000.0	1000.0	117999	119.06044	37.70693	143.84096	-12.632436	-122.13545	6.897706	657.5609407424927
60	1000.0	0.0	1000.0	1000.0	1000.0	0.0	1000.0	1000.0	1000.0	1000.0	119999	119.33867	36.98808	143.66573	-22.23811	-122.34961	6.48876	670.7690451145172
