Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time
0	9.764706	5.8508306	50.0	4.0	9.764706	0.0655815	0.018736823	0.14420646	-0.005303435	1500	-2.8371812e-08	77.081665	-0.02077296	-40.19972	0.91893816	0.015064573	0.182	28.0	1.4434497356414795
1	11.936	7.1640706	40.0	4.0	11.936	5.5017605	0.6488274	8.988749	4.5492783	3000	4.135569e-08	46.524773	-0.022472331	-17.40964	0.9104788	0.015875226	0.12933333	17.0	2.797445297241211
2	14.480392	8.576907	43.0	4.0	14.480392	8.251139	2.1525786	11.32201	-0.8253797	4500	-9.92914e-09	46.81793	-0.023637401	-4.6524353	0.90579176	0.016003512	0.20733333	18.0	4.109518051147461
3	16.086021	8.223563	41.0	5.0	16.086021	10.177592	2.2578616	12.96433	1.3385184	6000	-7.672235e-09	41.502834	-0.019931063	-7.6018333	0.90211225	0.015546279	0.11266667	13.0	5.408957242965698
4	18.506172	10.331688	60.0	5.0	18.506172	9.862537	2.8779051	13.3617935	-5.469867	7500	1.4821689e-08	61.19166	-0.021605916	-8.762333	0.8974685	0.016122583	0.14333333	13.0	6.761237144470215
5	27.777779	13.606461	77.0	6.0	27.777779	10.831583	4.112906	15.728425	-6.067089	9000	-2.8649966e-08	101.98455	-0.020883277	-27.954033	0.89326304	0.01610788	0.166	17.0	8.029460430145264
6	41.666668	24.720663	103.0	7.0	41.666668	15.129447	5.4386563	22.183325	-8.707859	10500	4.172325e-08	243.75261	-0.021981992	-79.27823	0.8866715	0.01508198	0.18866667	17.0	9.261246919631958
7	48.0	25.594858	111.0	11.0	48.0	22.788473	7.262743	32.28704	-7.207328	12000	-4.896273e-09	189.8477	-0.021952273	-39.67131	0.8825325	0.0030107186	0.112	79.0	10.78769326210022
8	66.0	36.558792	153.0	17.0	66.0	25.01113	11.261245	42.755215	-11.175124	13500	-1.6863148e-09	289.66336	-0.021906385	-74.61949	0.8638047	0.007975513	0.106	79.0	12.263782739639282
9	86.588234	28.203167	147.0	43.0	86.588234	31.866032	11.371611	46.74579	-11.0051775	15000	-1.1960665e-08	210.5129	-0.017547885	-72.8846	0.8466498	0.00930935	0.098	79.0	13.756835460662842
