Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	AverageQVals	StdQVals	MaxQVals	MinQVals	LossPi	LossQ	Time
1	5.612782	3.0627012	22.0	2.0	2.4	0.48989797	3.0	2.0	5.612782	2.4	1499	1.6460155	0.5807266	3.3889003	-0.29354724	-1.6636236	0.08071787	2.921473979949951
2	5.7007575	3.2632945	22.0	2.0	39.4	4.758151	52.0	34.0	5.7007575	39.4	2999	4.87482	2.7577221	11.73218	-0.47604766	-5.8162017	0.3577115	11.537247896194458
3	5.859375	3.6114712	21.0	3.0	26.3	0.64031243	28.0	26.0	5.859375	26.3	4499	11.121051	5.9343925	21.063887	-0.821213	-13.694686	0.9822165	19.94220209121704
4	5.7175574	3.1228652	24.0	2.0	20.6	1.8547237	22.0	17.0	5.7175574	20.6	5999	17.572365	9.559005	30.18712	-0.53254503	-21.746809	1.5949639	28.316667079925537
5	5.5555553	3.0151877	20.0	3.0	18.5	1.3601471	21.0	16.0	5.5555553	18.5	7499	23.992485	13.276914	38.68364	-0.63838357	-29.763088	2.1653054	36.96324563026428
6	5.5820894	3.2364492	20.0	3.0	21.3	0.781025	23.0	20.0	5.5820894	21.3	8999	30.49178	17.184649	49.177395	-0.9427562	-38.07723	3.3867528	45.66875648498535
7	8.653179	7.992479	35.0	3.0	34.4	1.2806249	36.0	32.0	8.653179	34.4	10499	37.831524	21.24472	62.85048	-1.717315	-47.009483	6.147447	54.54599595069885
8	36.75	5.756518	50.0	30.0	43.1	1.8681539	47.0	40.0	36.75	43.1	11999	44.639687	23.744259	78.88412	-1.5748253	-54.051304	8.559115	63.68361282348633
9	37.390244	18.831575	84.0	8.0	21.3	1.9	23.0	17.0	37.390244	21.3	13499	48.322147	25.913252	94.92524	-3.5760741	-57.61062	8.568455	72.78814601898193
10	28.557692	3.0972285	33.0	22.0	31.2	0.4	32.0	31.0	28.557692	31.2	14999	55.495895	29.706944	106.394516	-4.1509547	-65.882774	12.907463	81.65158295631409
11	28.54717	1.2372525	31.0	26.0	30.8	0.74833155	32.0	30.0	28.54717	30.8	16499	63.600452	34.518787	109.592255	-3.8979535	-74.5552	13.102572	90.53436422348022
12	37.94872	8.5122795	83.0	26.0	41.7	4.9809637	45.0	27.0	37.94872	41.7	17999	68.228485	40.24623	115.43645	-10.130864	-79.781586	17.743238	99.72005844116211
13	58.03846	16.194683	100.0	29.0	78.8	2.7856777	82.0	73.0	58.03846	78.8	19499	70.63819	45.3869	121.60773	-18.939386	-82.586716	19.730356	109.05105924606323
14	106.0	22.844193	148.0	75.0	95.3	2.2825425	98.0	91.0	106.0	95.3	20999	70.40021	48.67859	130.96326	-25.990185	-82.33223	18.75653	118.5444324016571
15	96.13333	12.637862	122.0	78.0	142.9	4.0112343	150.0	138.0	96.13333	142.9	22499	71.08065	50.23083	136.26962	-28.340178	-83.161385	19.835276	128.34293675422668
16	426.33334	405.64542	1000.0	138.0	1000.0	0.0	1000.0	1000.0	426.33334	1000.0	23999	74.67746	50.744686	141.75119	-27.983067	-86.55585	20.881632	141.24942994117737
17	1000.0	0.0	1000.0	1000.0	1000.0	0.0	1000.0	1000.0	1000.0	1000.0	25499	83.79981	51.83804	146.53792	-27.200712	-95.93647	22.254255	154.2201042175293
18	1000.0	0.0	1000.0	1000.0	1000.0	0.0	1000.0	1000.0	1000.0	1000.0	26999	93.062164	52.58271	154.62668	-33.074318	-105.03883	24.261574	167.0473666191101
19	1000.0	0.0	1000.0	1000.0	1000.0	0.0	1000.0	1000.0	1000.0	1000.0	28499	102.20254	52.578716	157.69572	-32.70314	-113.91223	24.945303	179.64925384521484
20	1000.0	0.0	1000.0	1000.0	1000.0	0.0	1000.0	1000.0	1000.0	1000.0	29999	110.37209	52.68677	162.41302	-30.704739	-121.76575	24.399336	191.8936095237732
