Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time
0	10.455498	5.7855988	41.0	4.0	10.455498	0.06680318	0.017895676	0.11282045	-0.007104486	2000	-8.165836e-09	75.85052	-0.023614084	-42.2664	0.918938	0.015104629	0.176	20.0	1.7306337356567383
1	11.294798	5.944816	36.0	4.0	11.294798	5.557048	0.7730612	11.667665	4.452418	4000	-1.937896e-08	42.990788	-0.022985207	-13.537619	0.9129515	0.01502889	0.147	17.0	3.4822521209716797
2	13.650685	9.274795	57.0	4.0	13.650685	7.8988557	1.7787023	11.128012	0.9933057	6000	3.3929943e-08	60.607155	-0.02464464	-6.0403214	0.9089972	0.015634423	0.206	20.0	5.313732147216797
3	17.8125	10.053901	59.0	6.0	17.8125	9.855268	2.3395224	13.42425	-1.2413642	8000	7.3462725e-09	65.35412	-0.02695417	-7.8821907	0.9015235	0.012983688	0.176	79.0	7.289926767349243
4	27.583334	14.124201	59.0	5.0	27.583334	11.298668	2.838842	14.886165	-4.3157964	10000	2.3454428e-08	107.75927	-0.02803146	-34.3434	0.8771621	0.015058549	0.173	79.0	9.283855438232422
5	35.107143	21.946102	97.0	6.0	35.107143	15.556928	5.052733	22.593714	-8.345195	12000	1.4573335e-08	178.53183	-0.028722232	-40.2529	0.8485596	0.01247014	0.164	79.0	11.250711917877197
6	52.37838	20.840904	92.0	13.0	52.37838	20.360136	6.922766	29.69094	-11.471285	14000	5.275011e-09	157.58727	-0.021026142	-44.58345	0.8241145	0.011816574	0.104	79.0	13.149187564849854
7	71.10714	33.26768	141.0	10.0	71.10714	25.427504	10.096063	38.563194	-10.623801	16000	-3.4272671e-09	223.01534	-0.016567709	-81.70369	0.7978552	0.006707763	0.0835	79.0	15.049696922302246
8	88.818184	28.474289	148.0	51.0	88.818184	33.254593	13.618239	49.996403	-10.993984	18000	-3.5196543e-08	160.14981	-0.020354059	-22.96733	0.7798999	0.008758249	0.129	79.0	17.110660314559937
9	117.35294	55.531593	248.0	30.0	117.35294	36.1943	15.443359	55.551384	-6.423016	20000	-8.642673e-10	295.55396	-0.0108582415	-125.32312	0.764797	0.016443137	0.1625	3.0	18.701868295669556
10	132.92857	50.721172	259.0	87.0	132.92857	49.346138	16.089527	71.17858	-4.0719347	22000	-6.3329936e-10	390.77908	-0.016690861	-224.3947	0.764335	0.009161653	0.085	79.0	20.619848251342773
11	158.75	78.2018	366.0	51.0	158.75	50.970516	17.928757	72.31636	-9.379553	24000	-7.376075e-09	256.6689	-0.0111221885	-39.41446	0.75707966	0.016046442	0.1495	12.0	22.20708966255188
12	379.25	311.0654	918.0	196.0	379.25	61.839058	17.001646	78.24524	-9.711938	26000	1.001358e-08	533.0951	-0.015294497	-275.16232	0.7557837	0.015222704	0.138	14.0	23.740662336349487
13	617.3333	281.93893	1000.0	329.0	617.3333	84.02272	6.8276553	94.836365	53.792965	28000	-2.4288893e-09	424.5635	-0.017608063	-163.71204	0.7542232	0.0045279316	0.086	79.0	25.603022575378418
14	1000.0	0.0	1000.0	1000.0	1000.0	89.27253	7.855473	98.00467	48.30721	30000	1.424551e-08	167.08939	-0.014096118	-152.44968	0.74643004	0.007473399	0.075	79.0	27.463125467300415
