Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time
0	8.474576	4.00997	27.0	4.0	8.474576	0.29006195	0.052011818	0.37908643	0.103843115	2000	1.2928247e-07	41.649517	-0.022450045	-26.93196	0.918938	0.021048436	0.2085	4.0	2.1056361198425293
1	10.668449	5.44562	30.0	4.0	10.668449	4.1728396	0.8453929	4.4957376	-2.7650402	4000	-9.9092725e-09	29.257208	-0.017585738	-7.8296165	0.9177363	0.018136261	0.2415	7.0	4.188167095184326
2	11.191011	5.8268585	35.0	4.0	11.191011	5.981551	1.1499057	6.4913445	-0.11496368	6000	-1.6875565e-09	26.17862	-0.020864632	-2.0449257	0.9156275	0.01624568	0.184	8.0	6.2894368171691895
3	14.850746	8.777097	55.0	4.0	14.850746	6.9941835	1.2646214	7.4999204	0.33487985	8000	3.5963954e-08	59.355965	-0.017305428	-8.352932	0.91325825	0.015276985	0.2015	10.0	8.394407510757446
4	20.510416	11.607285	54.0	5.0	20.510416	8.824814	2.1853786	9.579018	-8.144529	10000	5.2154063e-09	89.28546	-0.023592353	-15.442459	0.91068596	0.0062261745	0.1465	79.0	10.972514867782593
5	24.308641	13.444574	75.0	5.0	24.308641	11.196385	3.0102549	12.362018	-2.1620767	12000	-1.9192695e-08	109.073586	-0.017046237	-12.113327	0.89745706	0.016713327	0.158	11.0	13.050772666931152
6	36.907406	26.989893	158.0	6.0	36.907406	13.947277	1.5484884	14.377898	0.45769483	14000	-2.3037195e-08	346.90414	-0.019934261	-62.950256	0.89375633	0.006851693	0.109	79.0	15.597496747970581
7	51.25641	24.789078	103.0	7.0	51.25641	18.255684	2.6265647	18.888157	-1.9926074	16000	-1.1488796e-08	286.7891	-0.017869772	-46.714798	0.87349266	0.012040867	0.13	79.0	18.127652883529663
8	77.24	35.71586	150.0	16.0	77.24	21.821861	2.4144323	22.361614	1.6767428	18000	-3.257394e-08	533.68866	-0.013969869	-139.07608	0.8545	0.009027426	0.096	79.0	20.67693305015564
9	91.809525	35.21447	180.0	48.0	91.809525	23.279129	6.9967327	27.098032	1.6171243	20000	-4.8071147e-08	473.90897	-0.0057125413	-115.4729	0.8403247	0.017191922	0.1555	8.0	22.626216888427734
10	110.611115	54.37538	311.0	49.0	110.611115	27.134764	7.8946123	31.123661	1.5197932	22000	2.7418137e-09	632.28723	-0.009000094	-106.09491	0.8394322	0.015228813	0.127	5.0	24.716095209121704
11	132.93333	62.059616	272.0	60.0	132.93333	32.17139	6.775212	34.712696	2.7340431	24000	4.7534705e-08	787.48425	-0.006438186	-123.39734	0.8388934	0.015526513	0.1485	5.0	26.665030002593994
12	174.18182	89.277725	313.0	47.0	174.18182	33.320873	9.855483	38.033028	2.0336833	26000	-8.893013e-08	1056.5779	-0.0025872458	-201.62927	0.8373155	0.015480485	0.186	4.0	28.594703674316406
13	196.2	52.42862	308.0	134.0	196.2	39.87231	7.346491	41.889	2.0965085	28000	-1.01923945e-08	786.8901	-0.0057850764	-106.91876	0.83569425	0.016411219	0.1595	6.0	30.521668672561646
14	494.25	231.5193	806.0	174.0	494.25	42.765038	7.5213404	44.914143	2.9068248	30000	7.641315e-08	1856.0337	-0.0084157055	-343.90308	0.8336034	0.019304957	0.241	2.0	32.45052528381348
15	169.44444	61.763184	292.0	83.0	169.44444	47.933132	6.6445127	49.70034	2.9975142	32000	1.3321638e-08	848.1404	-0.0040842434	-117.85712	0.833163	0.020694688	0.2095	5.0	34.38909912109375
16	393.2	154.32356	648.0	262.0	393.2	51.61874	2.1226618	51.908226	18.42511	34000	3.0994414e-08	1225.6361	-0.008966327	-133.7284	0.8318779	0.005698462	0.0845	79.0	36.92082953453064
