Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time
0	9.3755865	4.620811	28.0	3.0	9.3755865	0.13165179	0.016681226	0.1728233	0.09988263	2000	8.8632106e-08	52.97129	-0.025881862	-35.161892	0.918938	0.015018613	0.18	35.0	2.209811210632324
1	11.804733	6.4370213	41.0	4.0	11.804733	6.1961694	1.0360258	11.389566	4.814664	4000	1.2531877e-08	35.719788	-0.026596686	-10.270025	0.9084243	0.011025995	0.1915	79.0	4.632812023162842
2	12.948052	7.3128533	48.0	4.0	12.948052	7.897995	2.4268909	10.395663	0.46721187	6000	-3.1292438e-09	33.808277	-0.025371991	-2.8453789	0.8824776	0.015373605	0.148	11.0	6.636711359024048
3	20.618557	11.4220295	62.0	5.0	20.618557	8.740916	2.6081145	11.586685	0.85525155	8000	4.6163798e-08	85.89298	-0.017678352	-23.977215	0.87797886	0.015001416	0.222	13.0	8.582850456237793
4	22.53409	10.967876	53.0	6.0	22.53409	12.5573845	3.8404787	17.218418	0.38789928	10000	-7.688999e-09	57.75144	-0.021486426	-6.716053	0.87251323	0.015288546	0.194	12.0	10.500945806503296
5	33.864407	19.571215	103.0	8.0	33.864407	12.294111	5.1274185	18.681574	0.40873384	12000	-2.323091e-08	203.54309	-0.016590599	-63.418213	0.8681603	0.01599774	0.1555	9.0	12.39301061630249
6	47.285713	25.016459	99.0	10.0	47.285713	18.462593	6.405954	26.778154	0.47703308	14000	-4.2527915e-08	218.83008	-0.013967889	-64.92401	0.8645547	0.015526732	0.173	11.0	14.512139558792114
7	71.35714	29.52023	125.0	15.0	71.35714	25.84551	7.739675	36.72957	1.6807098	16000	-4.1797758e-08	256.66885	-0.021433737	-78.71294	0.8602189	0.005592602	0.093	79.0	16.814831256866455
8	87.681816	42.177532	165.0	28.0	87.681816	32.025543	11.641755	49.29567	-0.06648119	18000	3.1463802e-08	315.17618	-0.025224652	-91.46298	0.84951764	0.011836345	0.1215	79.0	19.109172821044922
9	132.33333	35.446987	213.0	73.0	132.33333	37.98771	14.384875	58.720833	-1.83606	20000	1.2338162e-08	276.75638	-0.025247967	-99.899216	0.8377334	0.011516835	0.119	79.0	21.40039324760437
10	229.75	157.25119	543.0	90.0	229.75	47.753197	14.602377	68.2746	-3.123221	22000	8.064509e-08	776.5332	-0.027557429	-487.2744	0.8169288	0.015098289	0.168	69.0	23.67524743080139
