Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time
0	8.898809	4.722842	35.0	3.0	8.898809	0.13099642	0.017356057	0.17320797	0.098495804	1500	-3.4570693e-08	53.68843	-0.022011897	-33.598106	0.91893816	0.015639722	0.15266667	25.0	1.7332763671875
1	10.847826	5.8295875	40.0	4.0	10.847826	5.9573307	0.9883351	10.310798	4.5781302	3000	-1.1444092e-08	29.59985	-0.020619674	-8.296251	0.91161126	0.015430387	0.20066667	25.0	3.428917169570923
2	12.669492	6.9624357	36.0	4.0	12.669492	7.519382	2.2842934	10.118249	0.6001016	4500	-2.070268e-08	29.413263	-0.03024982	-2.7187138	0.90518886	0.016445128	0.17066666	17.0	5.0579752922058105
3	14.514564	8.553503	51.0	4.0	14.514564	8.395176	2.463821	11.205171	0.760457	6000	5.3842864e-09	44.455173	-0.02029276	-6.797035	0.8982706	0.015432714	0.14733334	11.0	6.5937721729278564
4	21.969696	9.59951	50.0	5.0	21.969696	9.861341	3.266747	13.6758995	0.51842916	7500	-5.2452087e-09	67.492935	-0.02811544	-19.165466	0.8933007	0.010446221	0.18333334	79.0	8.514469385147095
5	29.84	19.143	96.0	8.0	29.84	12.018741	5.633268	19.085493	0.3963514	9000	2.1894772e-08	172.84085	-0.024499862	-45.609703	0.87886095	0.015500146	0.18733333	20.0	10.094525575637817
6	41.555557	22.902504	89.0	5.0	41.555557	17.53431	6.4396715	26.203068	0.47185117	10500	2.1107494e-08	172.52647	-0.020731837	-43.806152	0.87222224	0.015916282	0.18466666	19.0	11.879706859588623
7	59.458332	31.819778	103.0	7.0	59.458332	22.816963	9.933363	35.41412	0.51561433	12000	3.7670137e-08	246.3262	-0.027541906	-75.73198	0.8647535	0.010178153	0.13066667	79.0	13.709835529327393
8	83.76471	29.713394	138.0	41.0	83.76471	29.786331	10.790948	45.549503	0.5754145	13500	-5.3445497e-09	227.2423	-0.021529282	-99.41595	0.83547795	0.008648729	0.106	79.0	15.58150339126587
9	96.8	30.783545	156.0	32.0	96.8	38.532516	14.155295	57.442318	2.0017009	15000	1.32719675e-08	156.66188	-0.0155667765	-27.469513	0.8231588	0.015741179	0.128	15.0	17.138559341430664
