	Starting_point	Mean_Reward	Total_reward	Ave_Total_energy	Energy	intervals	Stand_dev	Algo
0	1e-06	400.0	[38. 38. 38. 38. 38. 38. 38. 38. 38. 38.]	74.93663787841797	"[76.36464  74.9637   76.72122  74.40205  74.0791   74.34302  74.36944
 75.09261  75.119064 73.91155 ]"	[74.26099995 75.61227581]	0.8960092663764954	DDPG
1	1e-06	400.0	[38. 38. 38. 38. 38. 38. 38. 38. 38. 38.]	16.403093338012695	"[16.067701 18.018854 16.238083 16.930893 15.674739 15.947936 16.650257
 16.251049 15.450701 16.800716]"	[15.87439544 16.93179124]	0.7011421918869019	PPO
2	1e-06	400.0	[400. 400. 400. 400. 400. 400. 400. 400. 400. 400.]	0.18356055200067206	"[0.18356422 0.1835465  0.18357387 0.1835755  0.18354174 0.18354939
 0.18357552 0.18356164 0.18356797 0.18354916]"	[0.18355132 0.18356979]	1.2248238523866469e-05	PID
3	0.015	400.0	[400. 400. 400. 400. 400. 400. 400. 400. 400. 400.]	69.62777709960938	"[71.855286 68.74685  70.44492  66.60504  70.727036 69.81659  69.159035
 70.21801  69.142204 69.5628  ]"	[68.62756695 70.62798725]	1.326446533203125	DDPG
4	0.015	400.0	[400. 400. 400. 400. 400. 400. 400. 400. 400. 400.]	16.238971710205078	"[15.038257 15.89783  17.017975 16.939775 15.858655 16.541037 16.766727
 16.450312 16.503536 15.375615]"	[15.76025117 16.71769225]	0.6348637938499451	PPO
5	0.015	400.0	[400. 400. 400. 400. 400. 400. 400. 400. 400. 400.]	0.5904870898670401	"[0.59048225 0.59048783 0.59048249 0.59050489 0.59047923 0.59047796
 0.59049888 0.59049484 0.59048526 0.59047728]"	[0.59048032 0.59049386]	8.976574733181506e-06	PID
6	0.025	400.0	[400. 400. 400. 400. 400. 400. 400. 400. 400. 400.]	72.66523742675781	"[72.12575  72.701485 72.544334 72.35566  72.10598  71.57636  75.01829
 72.86582  72.6572   72.701485]"	[72.0130935  73.31738135]	0.864852249622345	DDPG
7	0.025	400.0	[400. 400. 400. 400. 400. 400. 400. 400. 400. 400.]	16.134586334228516	"[16.034834 15.847346 16.66479  14.972362 16.369518 15.691464 16.420553
 17.80831  15.004397 16.532284]"	[15.53633686 16.7328358 ]	0.7933791875839233	PPO
8	0.025	396.0	[396. 396. 396. 396. 396. 396. 396. 396. 396. 396.]	1.4442984636938028	"[1.44190079 1.4390888  1.43817163 1.4551427  1.45429553 1.45217772
 1.4333385  1.44072081 1.45392679 1.43422136]"	[1.4380931  1.45050383]	0.008229351317085614	PID
9	0.29	400.0	[396. 396. 396. 396. 396. 396. 396. 396. 396. 396.]	69.4690170288086	"[69.37777 69.94109 70.05347 69.39197 70.67311 68.74582 68.64541 69.46298
 68.86116 69.53742]"	[69.01632843 69.92170563]	0.6003410816192627	DDPG
10	0.29	400.0	[396. 396. 396. 396. 396. 396. 396. 396. 396. 396.]	16.48757553100586	"[17.327612 15.863193 16.787739 16.787085 16.543837 16.151026 16.414644
 16.57253  16.72022  15.707886]"	[16.14480701 16.83034405]	0.4545685946941376	PPO
11	0.29	38.0	[38. 38. 38. 38. 38. 38. 38. 38. 38. 38.]	489.07070704904135	"[489.07085185 489.07067568 489.07069797 489.0706683  489.07060778
 489.07081849 489.0706514  489.07066135 489.07062448 489.07081319]"	[489.07064438 489.07076972]	8.31150710001213e-05	PID
