Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	AverageQVals	StdQVals	MaxQVals	MinQVals	LossPi	LossQ	Time
1	5.6657224	3.284678	23.0	2.0	54.6	7.901899	68.0	43.0	5.6657224	54.6	1999	2.258898	1.0527598	5.897768	-0.25958258	-2.39941	0.10484019	6.001376628875732
2	5.5096416	3.0354724	22.0	3.0	66.3	13.791664	92.0	46.0	5.5096416	66.3	3999	7.715198	4.571437	17.323402	-0.8316972	-9.448789	0.5177465	17.709397315979004
3	5.5290856	2.6774654	16.0	2.0	28.0	3.9242833	35.0	21.0	5.5290856	28.0	5999	15.670961	8.777554	28.062347	-1.718318	-19.319395	1.1157483	29.125821113586426
4	5.882353	3.438234	21.0	3.0	22.1	4.253234	31.0	15.0	5.882353	22.1	7999	22.622852	12.765697	38.89949	-2.6762044	-27.94752	2.1178868	40.91151475906372
5	6.0911856	3.3029714	22.0	3.0	19.2	0.59999996	20.0	18.0	6.0911856	19.2	9999	29.689293	16.721378	49.839256	-3.4899118	-36.62961	3.5766287	52.79323601722717
6	31.25	5.562149	38.0	19.0	38.7	0.45825756	39.0	38.0	31.25	38.7	11999	37.954433	20.7653	62.768646	-9.831212	-46.35675	6.8842607	65.09633088111877
7	40.958332	2.159845	45.0	32.0	47.9	3.1448371	52.0	44.0	40.958332	47.9	13999	43.44146	24.385101	74.39505	-6.9003887	-51.693726	6.9732103	77.22428464889526
8	32.51613	9.397567	68.0	16.0	33.8	0.4	34.0	33.0	32.51613	33.8	15999	47.158154	27.931156	89.55007	-17.274767	-56.140366	10.4547415	89.27348828315735
9	37.28302	2.8706543	45.0	32.0	43.7	0.9	46.0	43.0	37.28302	43.7	17999	57.31495	34.789173	97.36343	-19.794226	-67.7842	10.710817	101.2712516784668
10	46.488373	3.7439694	53.0	40.0	52.6	16.6325	87.0	39.0	46.488373	52.6	19999	60.61665	38.64066	103.55358	-6.444068	-70.388794	8.89826	113.2522554397583
11	74.23077	28.004541	164.0	27.0	95.3	3.5227828	101.0	89.0	74.23077	95.3	21999	59.79688	40.43516	108.116135	-5.137378	-68.999466	9.640292	125.65249991416931
12	255.125	282.98605	1000.0	120.0	1000.0	0.0	1000.0	1000.0	255.125	1000.0	23999	59.531754	41.46447	111.994064	-5.495439	-68.39252	8.710338	141.4055814743042
13	1000.0	0.0	1000.0	1000.0	1000.0	0.0	1000.0	1000.0	1000.0	1000.0	25999	65.070946	42.89708	119.34933	-4.31453	-74.35899	8.003917	157.2617220878601
14	1000.0	0.0	1000.0	1000.0	1000.0	0.0	1000.0	1000.0	1000.0	1000.0	27999	74.007935	44.928596	124.392265	-5.658494	-83.12365	10.710442	173.28756666183472
15	1000.0	0.0	1000.0	1000.0	1000.0	0.0	1000.0	1000.0	1000.0	1000.0	29999	82.74513	46.37706	130.85071	-6.674108	-91.95024	11.546045	189.10502696037292
16	381.6	301.5451	839.0	39.0	1000.0	0.0	1000.0	1000.0	381.6	1000.0	31999	92.08457	47.353363	138.21185	-8.139665	-100.96511	14.983128	205.01384735107422
17	466.5	361.4682	1000.0	19.0	1000.0	0.0	1000.0	1000.0	466.5	1000.0	33999	99.35628	48.325584	142.27213	-8.621893	-107.8166	17.55907	221.1178674697876
18	807.5	192.5	1000.0	615.0	1000.0	0.0	1000.0	1000.0	807.5	1000.0	35999	104.07597	48.415684	144.18715	-7.265978	-112.10522	17.048021	236.82652759552002
19	1000.0	0.0	1000.0	1000.0	1000.0	0.0	1000.0	1000.0	1000.0	1000.0	37999	106.84318	47.3008	142.71565	-7.360654	-114.54616	17.91266	252.59724640846252
20	1000.0	0.0	1000.0	1000.0	1000.0	0.0	1000.0	1000.0	1000.0	1000.0	39999	108.82857	45.532608	140.6776	-7.0894384	-116.020195	17.001104	268.2015223503113
21	426.5	304.68933	1000.0	159.0	1000.0	0.0	1000.0	1000.0	426.5	1000.0	41999	111.09868	43.466846	140.0399	-7.2102604	-118.0536	19.399601	283.9455199241638
22	1000.0	0.0	1000.0	1000.0	1000.0	0.0	1000.0	1000.0	1000.0	1000.0	43999	113.67932	43.271393	143.6023	-8.45111	-120.503235	20.258663	299.9616596698761
23	832.5	167.5	1000.0	665.0	1000.0	0.0	1000.0	1000.0	832.5	1000.0	45999	117.73787	44.168926	148.94824	-7.5306826	-124.623665	20.776747	316.27223348617554
24	1000.0	0.0	1000.0	1000.0	1000.0	0.0	1000.0	1000.0	1000.0	1000.0	47999	121.67264	44.477123	156.44966	-6.9966283	-128.33786	18.83239	331.9119806289673
25	781.5	218.5	1000.0	563.0	1000.0	0.0	1000.0	1000.0	781.5	1000.0	49999	122.97677	44.319027	159.26225	-9.998519	-129.08047	16.624926	347.7515478134155
26	536.75	463.25662	1000.0	70.0	1000.0	0.0	1000.0	1000.0	536.75	1000.0	51999	123.65113	44.139442	156.20653	-7.8622084	-129.72629	15.368183	362.98027515411377
27	1000.0	0.0	1000.0	1000.0	1000.0	0.0	1000.0	1000.0	1000.0	1000.0	53999	124.81759	44.66008	153.46976	-6.3128133	-130.69855	15.27251	378.70310974121094
28	1000.0	0.0	1000.0	1000.0	1000.0	0.0	1000.0	1000.0	1000.0	1000.0	55999	126.94532	45.507484	157.98613	-10.861296	-133.04547	13.684947	394.98311161994934
29	1000.0	0.0	1000.0	1000.0	1000.0	0.0	1000.0	1000.0	1000.0	1000.0	57999	129.50021	46.444664	161.90215	-8.006682	-135.47112	14.712432	410.5966832637787
30	1000.0	0.0	1000.0	1000.0	1000.0	0.0	1000.0	1000.0	1000.0	1000.0	59999	131.43954	47.14557	163.86191	-9.593546	-137.18744	15.087902	426.6279034614563
31	1000.0	0.0	1000.0	1000.0	1000.0	0.0	1000.0	1000.0	1000.0	1000.0	61999	134.21687	47.757374	165.79857	-10.245202	-139.98994	14.003092	442.6335618495941
32	1000.0	0.0	1000.0	1000.0	1000.0	0.0	1000.0	1000.0	1000.0	1000.0	63999	135.35266	47.7547	167.06442	-11.052752	-140.74806	14.82757	458.6868200302124
33	1000.0	0.0	1000.0	1000.0	1000.0	0.0	1000.0	1000.0	1000.0	1000.0	65999	135.36874	45.806213	163.99481	-10.885572	-140.30666	12.662842	474.66198921203613
34	523.6	391.4346	1000.0	127.0	1000.0	0.0	1000.0	1000.0	523.6	1000.0	67999	133.71619	44.09174	161.83212	-10.075228	-138.60983	11.867521	491.50740456581116
35	1000.0	0.0	1000.0	1000.0	1000.0	0.0	1000.0	1000.0	1000.0	1000.0	69999	135.40858	44.01332	162.62202	-11.337652	-140.48347	12.913816	507.9645609855652
36	1000.0	0.0	1000.0	1000.0	1000.0	0.0	1000.0	1000.0	1000.0	1000.0	71999	136.61963	42.49994	162.3412	-8.749157	-141.46078	13.412417	524.581600189209
37	1000.0	0.0	1000.0	1000.0	1000.0	0.0	1000.0	1000.0	1000.0	1000.0	73999	137.19388	39.048553	161.04094	-12.33639	-141.909	16.494677	541.8082842826843
38	1000.0	0.0	1000.0	1000.0	1000.0	0.0	1000.0	1000.0	1000.0	1000.0	75999	137.664	37.34023	258.35748	-22.626818	-142.41049	25.273914	558.7264821529388
39	687.3333	428.11316	1000.0	82.0	1000.0	0.0	1000.0	1000.0	687.3333	1000.0	77999	140.49341	37.404884	306.0008	-15.042099	-145.01692	35.267113	575.1776969432831
40	685.3333	445.00586	1000.0	56.0	1000.0	0.0	1000.0	1000.0	685.3333	1000.0	79999	140.9363	40.198154	329.05325	-22.685429	-145.18243	30.969133	591.7179532051086
41	36.272728	32.15669	267.0	10.0	34.7	0.4582576	35.0	34.0	36.272728	34.7	81999	143.93843	45.713173	333.67978	-20.048023	-150.34184	24.926306	605.9428758621216
42	37.35849	1.7493324	41.0	34.0	42.5	0.8062258	44.0	42.0	37.35849	42.5	83999	190.73528	66.34354	342.61414	-17.271841	-203.46867	38.941772	620.1102168560028
43	45.81818	8.451123	95.0	39.0	74.9	0.29999998	75.0	74.0	45.81818	74.9	85999	240.689	86.27234	349.55084	-17.337608	-254.14806	48.73653	633.9728755950928
44	255.33333	334.5483	1000.0	76.0	1000.0	0.0	1000.0	1000.0	255.33333	1000.0	87999	274.79492	100.73908	365.18015	-19.77151	-287.34476	49.362118	651.4286694526672
45	1000.0	0.0	1000.0	1000.0	1000.0	0.0	1000.0	1000.0	1000.0	1000.0	89999	284.82285	106.14502	366.0805	-17.00398	-294.69208	57.164238	668.2545435428619
46	1000.0	0.0	1000.0	1000.0	1000.0	0.0	1000.0	1000.0	1000.0	1000.0	91999	276.1128	102.253235	364.87485	-17.380562	-284.1943	46.927063	684.6389367580414
47	1000.0	0.0	1000.0	1000.0	1000.0	0.0	1000.0	1000.0	1000.0	1000.0	93999	265.95642	98.19368	367.0604	-18.296333	-274.15356	51.496555	701.0338413715363
48	1000.0	0.0	1000.0	1000.0	1000.0	0.0	1000.0	1000.0	1000.0	1000.0	95999	263.89105	95.20921	349.63208	-23.216827	-272.46188	47.439423	717.5120711326599
49	1000.0	0.0	1000.0	1000.0	1000.0	0.0	1000.0	1000.0	1000.0	1000.0	97999	262.88406	92.56726	332.20056	-21.339237	-271.47192	43.422157	734.0641872882843
50	965.0	35.0	1000.0	930.0	1000.0	0.0	1000.0	1000.0	965.0	1000.0	99999	260.26004	86.98264	321.2849	-24.837248	-268.02393	42.45393	750.6596381664276
51	566.5	428.03183	1000.0	98.0	1000.0	0.0	1000.0	1000.0	566.5	1000.0	101999	255.65147	81.91664	307.84375	-25.195326	-262.81628	41.421947	767.0708703994751
52	1000.0	0.0	1000.0	1000.0	1000.0	0.0	1000.0	1000.0	1000.0	1000.0	103999	247.12717	76.4091	299.0477	-23.167196	-253.82127	39.19632	783.5611388683319
53	1000.0	0.0	1000.0	1000.0	909.5	271.5	1000.0	95.0	1000.0	909.5	105999	238.98378	70.1408	284.24393	-28.478096	-245.26044	36.13254	799.9237241744995
54	345.33334	275.56467	730.0	80.0	1000.0	0.0	1000.0	1000.0	345.33334	1000.0	107999	235.69838	65.27472	298.31442	-35.822456	-242.26202	48.76924	816.6168732643127
55	1000.0	0.0	1000.0	1000.0	1000.0	0.0	1000.0	1000.0	1000.0	1000.0	109999	227.4384	65.503654	293.9072	-59.372528	-233.1511	41.2355	833.2089972496033
56	1000.0	0.0	1000.0	1000.0	1000.0	0.0	1000.0	1000.0	1000.0	1000.0	111999	228.01836	71.68324	294.33386	-53.162647	-235.43694	35.589493	849.6549711227417
57	1000.0	0.0	1000.0	1000.0	1000.0	0.0	1000.0	1000.0	1000.0	1000.0	113999	237.35107	77.45366	305.98993	-49.83973	-244.91812	36.35269	866.2633051872253
58	1000.0	0.0	1000.0	1000.0	1000.0	0.0	1000.0	1000.0	1000.0	1000.0	115999	243.33908	77.70807	312.2462	-30.899944	-250.78627	33.738045	882.6979064941406
59	1000.0	0.0	1000.0	1000.0	1000.0	0.0	1000.0	1000.0	1000.0	1000.0	117999	248.26881	71.581856	308.38785	-27.196999	-255.47333	41.15378	899.211333990097
