Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time
0	8.540772	3.9794874	26.0	4.0	8.540772	0.2915255	0.05122542	0.3792393	0.11182723	2000	1.0210276e-07	41.42569	-0.021925742	-26.972263	0.918938	0.02003926	0.2165	4.0	2.245858907699585
1	10.455498	5.4433646	40.0	4.0	10.455498	4.1547375	0.9129436	4.496984	-3.1229656	4000	-2.0250678e-08	29.82959	-0.017802326	-7.454397	0.9177363	0.015974814	0.211	6.0	4.441792964935303
2	11.581395	6.267237	38.0	4.0	11.581395	5.8946424	1.184243	6.444318	-0.56924486	6000	1.205504e-08	31.907326	-0.018442554	-3.0225506	0.9159532	0.01594507	0.2145	9.0	6.678656339645386
3	15.496124	8.450608	49.0	4.0	15.496124	7.2758274	1.1124963	7.66507	-0.2775648	8000	2.7067959e-08	52.146122	-0.02087746	-7.555893	0.91332173	0.01722158	0.202	10.0	8.812628746032715
4	18.635513	8.677387	48.0	5.0	18.635513	8.859012	2.1660771	9.668726	-4.488497	10000	-1.5705824e-08	51.27209	-0.017188506	-4.828022	0.9107109	0.015498108	0.213	11.0	10.952669620513916
5	22.177778	11.648155	63.0	7.0	22.177778	10.241803	2.425933	11.361111	0.36561793	12000	2.5182963e-08	87.57901	-0.011061691	-9.678665	0.9082096	0.015274562	0.17	12.0	13.086668729782104
6	32.67213	20.687939	113.0	7.0	32.67213	12.17681	3.498139	13.314271	-12.058352	14000	1.0251999e-08	245.75694	-0.017616909	-55.043854	0.90498394	0.0081825275	0.1155	79.0	15.810497760772705
7	49.375	20.219654	103.0	12.0	49.375	16.35408	2.935279	17.507496	3.4622674	16000	-5.9604645e-08	245.15227	-0.019337075	-73.23485	0.8929483	0.009574721	0.1205	79.0	18.42760181427002
8	51.105263	23.067165	116.0	11.0	51.105263	18.438036	5.6387014	21.812057	1.217402	18000	-7.033348e-09	212.8081	-0.010972414	-43.29065	0.8905294	0.018269764	0.158	6.0	20.43059468269348
9	67.44827	28.733719	145.0	16.0	67.44827	21.500238	6.3888288	25.090591	1.5650008	20000	-2.3216009e-08	303.52606	-0.009907539	-67.19295	0.88958895	0.01910709	0.1935	5.0	22.43588614463806
10	72.74074	21.921734	119.0	35.0	72.74074	23.558512	7.749824	28.70812	1.0644773	22000	-5.90086e-09	225.47008	-0.005312476	-49.185013	0.88777095	0.015500705	0.1825	7.0	24.500519514083862
11	104.388885	49.383015	253.0	60.0	104.388885	27.083313	8.0251255	31.408625	0.905934	24000	4.8279762e-09	615.01843	-0.014656502	-145.67685	0.8847582	0.009148604	0.084	79.0	27.139101028442383
12	121.0625	55.854126	248.0	35.0	121.0625	30.204695	9.71273	35.88557	1.4976463	26000	-7.942319e-08	578.53625	-0.008071328	-120.22403	0.87273335	0.016521527	0.1365	7.0	29.151798486709595
13	228.5	99.81107	444.0	98.0	228.5	36.355568	8.000636	39.83515	1.9261993	28000	7.2717667e-09	1226.7637	-0.012656262	-287.13055	0.8718422	0.0053964704	0.0805	79.0	31.75004816055298
14	593.6667	340.37463	1000.0	167.0	593.6667	42.962013	6.924915	44.87655	3.6076608	30000	1.1718273e-07	2087.2217	-0.007164992	-453.188	0.8750292	0.017432466	0.1425	8.0	33.737942934036255
