Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time
0	8.259668	3.80665	22.0	4.0	8.259668	0.29027992	0.052720957	0.37936866	0.10564778	1500	-1.4098485e-07	38.31574	-0.022276117	-25.60015	0.91893816	0.020871116	0.19466667	4.0	1.7366724014282227
1	10.521127	5.7637997	31.0	4.0	10.521127	4.108749	0.9307548	4.482572	-3.1432762	3000	3.7113825e-08	31.638865	-0.018564401	-8.484034	0.9177382	0.016480122	0.246	6.0	3.486133575439453
2	12.286885	5.6182947	33.0	5.0	12.286885	6.1044955	1.088733	6.5705338	-1.782088	4500	-1.2621284e-08	25.891176	-0.023618098	-2.834507	0.915906	0.01706148	0.18866667	8.0	5.184857368469238
3	14.018692	7.3674974	39.0	5.0	14.018692	7.1657805	1.4216343	7.759431	0.56710255	6000	2.2013982e-08	39.273643	-0.021213662	-3.880207	0.91340005	0.016357135	0.136	7.0	6.886441946029663
4	20.216217	12.298396	66.0	5.0	20.216217	8.426799	1.8697588	9.18512	-2.088228	7500	3.5643577e-08	102.6315	-0.017751284	-18.593689	0.91119266	0.015566331	0.18133333	9.0	8.663373708724976
5	23.03077	13.239764	69.0	6.0	23.03077	11.108594	3.0786397	12.229489	-6.717813	9000	-5.463759e-10	100.54317	-0.02224277	-8.94474	0.9084449	0.009103176	0.14466667	79.0	10.787583112716675
6	37.153847	23.362846	101.0	6.0	37.153847	12.890164	2.9175456	14.212656	0.116843104	10500	-1.1841456e-08	279.8941	-0.01631025	-77.63985	0.89459854	0.003840607	0.11533333	79.0	13.014615774154663
7	46.8125	25.540945	114.0	7.0	46.8125	17.648474	3.2016804	18.921082	1.9155818	12000	2.5848548e-08	274.495	-0.013170449	-50.010468	0.875664	0.01578471	0.14533333	12.0	14.67353892326355
8	56.96	25.37003	142.0	11.0	56.96	18.986563	5.057766	22.327879	0.9875314	13500	-3.8544337e-09	284.52142	-0.0154457325	-62.034027	0.8728256	0.0074575227	0.09533333	79.0	16.710576057434082
9	87.64706	46.49344	235.0	30.0	87.64706	22.727844	6.261254	25.745953	1.9001667	15000	3.417333e-08	606.37054	-0.0155506795	-127.242615	0.85160863	0.009705723	0.10933334	79.0	18.754615783691406
