Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time
0	10.239726	5.005893	28.0	4.0	10.239726	0.06549829	0.0179572	0.13122189	-0.006731324	1500	2.1060307e-08	62.82507	-0.027255863	-37.946667	0.91893816	0.012154933	0.214	79.0	1.6427605152130127
1	12.605042	7.6116	50.0	4.0	12.605042	5.430481	0.6225879	10.01325	4.596035	3000	5.1607687e-09	56.429806	-0.019501537	-20.25541	0.8976601	0.015608715	0.12733333	12.0	2.9429900646209717
2	15.020202	8.488828	46.0	5.0	15.020202	8.694996	2.1937976	11.197747	-0.35561955	4500	7.788341e-09	44.13273	-0.02011899	-3.597187	0.89320385	0.015407208	0.212	16.0	4.317615270614624
3	18.493828	11.0298395	51.0	4.0	18.493828	9.98152	2.2533686	12.685623	0.13889566	6000	-7.525086e-09	65.63467	-0.025005806	-10.082649	0.885711	0.016486842	0.18133333	12.0	5.573320150375366
4	21.257143	13.818917	66.0	6.0	21.257143	11.609464	3.4858806	16.427748	-3.1271164	7500	5.165736e-09	98.32459	-0.020810181	-10.883881	0.8803116	0.016955096	0.17533334	11.0	6.901141881942749
5	33.155556	19.048424	92.0	11.0	33.155556	13.832955	4.3444963	19.031895	-2.3410966	9000	6.6856543e-09	166.08069	-0.025032105	-37.123352	0.8752465	0.0138287125	0.17066666	79.0	8.495100736618042
6	51.068966	25.748024	123.0	13.0	51.068966	18.340063	6.3660173	26.644958	-7.284067	10500	2.4239222e-09	262.07605	-0.022847323	-70.5907	0.8572582	0.008417069	0.100666665	79.0	10.027885675430298
7	64.27273	31.494852	175.0	27.0	64.27273	25.36696	8.349271	34.895317	-10.692745	12000	1.257658e-08	254.39264	-0.021205777	-77.73509	0.84695864	0.011251487	0.13	79.0	11.542272567749023
8	70.52381	25.372684	124.0	29.0	70.52381	33.83676	10.65856	47.66624	-5.6398363	13500	5.2253406e-09	181.35434	-0.008825608	-43.96576	0.82116693	0.015600588	0.10266667	8.0	12.73979663848877
9	98.066666	38.924652	219.0	51.0	98.066666	30.36112	13.042279	47.232567	-11.135807	15000	8.980433e-09	280.7101	-0.015574351	-128.65247	0.8184453	0.006853422	0.074	79.0	14.259283781051636
10	91.0	37.887993	176.0	15.0	91.0	41.47516	16.340214	57.898697	-10.46724	16500	-1.9073487e-09	166.57253	-0.027278926	-24.861526	0.7965748	0.012926708	0.138	79.0	15.757323741912842
11	146.4	22.830683	184.0	101.0	146.4	37.172497	15.688159	57.24252	-8.726121	18000	-6.266435e-08	246.894	-0.016541172	-175.73914	0.77298445	0.009412576	0.102	79.0	17.28168034553528
12	223.66667	110.11761	375.0	77.0	223.66667	46.201416	18.849628	71.65474	-7.1653056	19500	6.171067e-08	510.6891	-0.017485285	-355.75458	0.77726793	0.026543833	0.32533333	3.0	18.48094916343689
13	163.5	69.25677	303.0	77.0	163.5	71.15091	17.76095	90.45484	14.443449	21000	-1.0728836e-09	562.0095	-0.017127033	-288.3584	0.7771145	0.00900792	0.094	79.0	20.012880563735962
14	347.25	68.634445	415.0	234.0	347.25	67.67275	15.23431	83.91604	-14.447756	22500	2.404054e-09	411.3795	-0.02021446	-123.18637	0.7576187	0.00898269	0.11	79.0	21.539533853530884
15	700.5	299.5	1000.0	401.0	700.5	73.96408	8.713271	89.155464	46.812683	24000	-4.2994817e-08	675.08923	-0.0049272054	-368.66364	0.7389182	0.017542876	0.20133333	5.0	22.742414712905884
16	410.0	214.0	624.0	196.0	410.0	82.978615	17.632116	96.95725	-22.656425	25500	2.1855036e-09	172.05737	-0.010882126	-21.281082	0.7375185	0.018486587	0.32666665	5.0	23.935709953308105
17	1000.0	0.0	1000.0	1000.0	1000.0	95.086044	2.57692	99.89099	80.5956	27000	-2.582868e-09	24.742813	-0.01781549	-19.338444	0.73621124	-0.00022016325	0.068	79.0	25.405967712402344
18	1000.0	0.0	1000.0	1000.0	1000.0	99.5935	1.9631563	103.31192	87.53127	28500	-1.9441048e-08	4.179713	-0.01587857	-1.1815507	0.7069392	0.007572646	0.07	79.0	26.894140481948853
19	1000.0	0.0	1000.0	1000.0	1000.0	100.80906	1.24568	103.35487	95.188675	30000	-5.066395e-09	2.0950708	-0.010228131	-0.95641065	0.6844776	0.0039664274	0.06266667	79.0	28.395020008087158
